Feature	Group	Meaning	RiskLevel
A1	Category	A1 detects **execution behavior** such as OS commands, dynamic eval, constructed commands, and execution sinks.	N/A
A1_command_literal	A	Literal OS command strings found in code (e.g., rm, chmod, curl).	Medium
A1_command_url	A	OS commands containing embedded URLs (curl http://...).	High
A1_command_variable	A	Command strings constructed via variables.	High
A1_dynamic_literal	A	Direct dynamic evaluation of string values (eval, Function).	High
A1_dynamic_url	A	Dynamically constructed URLs used inside eval or execution flows.	High
A1_dynamic_variable	A	Variable-controlled dynamic execution or eval-like behavior.	High
A1_total_sites	A	Number of files containing A1 patterns (context only).	N/A
			
A2	Category	A2 detects **string decoding behavior** which may indicate obfuscation, data unpacking, or payload decryption.	N/A
A2_decode_string_literal	A	Static decoding operations on string literals (base64, hex decode).	Medium
A2_decode_variable	A	Decoding operations where source data comes from a variable.	High
A2_total_sites	A	Number of files containing A2 decode patterns (context only).	N/A
			
A3	Category	A3 detects **static string constants**, including configs, logs, and potential secrets; low-risk except for secrets.	N/A
A3_CONFIG_OR_URL	A	Configuration or URL-like string constants (non-malicious context).	Low
A3_LOG_OR_MESSAGE	A	Logging or message-related constants.	Low
A3_OTHER	A	Miscellaneous string constants (harmless context).	N/A
A3_SECRETS	A	Potential secrets (tokens, keys) detected in plain text.	High
A3_total_sites	A	Number of files containing A3 patterns (context only).	N/A
			
B1	Category	B1 detects **static infrastructure references** to cloud providers and service endpoints in strings.	N/A
B1_AWS	B	Reference to AWS endpoints, SDKs, or URLs.	Medium
B1_Azure	B	Reference to Azure SDK/endpoints.	Medium
B1_GCP	B	Reference to Google Cloud endpoints or APIs.	Medium
B1_GitHub	B	Reference to GitHub API or GitHub-hosted resources.	Low
B1_GitLab	B	Reference to GitLab API or GitLab resources.	Low
B1_Heroku	B	Heroku API/app references.	Medium
B1_Netlify	B	Netlify deployment/endpoint references.	Low
B1_Unknown	B	Generic endpoints without clear classification.	Low
B1_Vercel	B	Vercel API/app references.	Medium
B1_npm	B	References to npm registry or npm infrastructure.	Low
