Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
lang-codes_1.0.2_1764727307_report.json,lang-codes@1.0.2,MEDIUM,0.5747,0.7748,0.3440
_voiceflow+react-chat_1.65.4_1764726981_report.json,@voiceflow/react-chat@1.65.4,LOW,0.0634,0.7748,0.3440
_ensdomains+curvearithmetics_1.0.1_1764726034_report.json,@ensdomains/curvearithmetics@1.0.1,HIGH,1.0000,0.7748,0.3440
_posthog+filter-out-plugin_0.0.8_1764726484_report.json,@posthog/filter-out-plugin@0.0.8,HIGH,0.7748,0.7748,0.3440
_voiceflow+voice-types_2.10.59_1764726913_report.json,@voiceflow/voice-types@2.10.59,HIGH,0.7748,0.7748,0.3440
_zapier+ai-actions-react_0.1.13_1764726946_report.json,@zapier/ai-actions-react@0.1.13,LOW,0.0634,0.7748,0.3440
_ensdomains+test-utils_1.3.1_1764726067_report.json,@ensdomains/test-utils@1.3.1,HIGH,0.7748,0.7748,0.3440
_accordproject+markdown-it-cicero_0.16.26_1764725586_report.json,@accordproject/markdown-it-cicero@0.16.26,HIGH,0.7748,0.7748,0.3440
tiaan_1.0.2_1764727578_report.json,tiaan@1.0.2,MEDIUM,0.5747,0.7748,0.3440
dotnet-template_0.0.3_1764727159_report.json,dotnet-template@0.0.3,LOW,0.0634,0.7748,0.3440
_postman+pretty-ms_6.1.1_1764726684_report.json,@postman/pretty-ms@6.1.1,MEDIUM,0.5747,0.7748,0.3440
_actbase+node-server_1.1.19_1764725668_report.json,@actbase/node-server@1.1.19,HIGH,1.0000,0.7748,0.3440
ids-css_1.5.1_1764727310_report.json,ids-css@1.5.1,HIGH,1.0000,0.7748,0.3440
react-native-retriable-fetch_2.0.2_1764727490_report.json,react-native-retriable-fetch@2.0.2,HIGH,0.7748,0.7748,0.3440
_postman+mcp-ui-client_5.5.1_1764726577_report.json,@postman/mcp-ui-client@5.5.1,LOW,0.0634,0.7748,0.3440
_voiceflow+google-dfes-types_2.17.13_1764726833_report.json,@voiceflow/google-dfes-types@2.17.13,HIGH,0.7748,0.7748,0.3440
react-keycloak-context_1.0.9_1764727503_report.json,react-keycloak-context@1.0.9,HIGH,0.9471,0.7748,0.3440
_postman+node-keytar_7.9.4_1764726607_report.json,@postman/node-keytar@7.9.4,HIGH,1.0000,0.7748,0.3440
redux-router-kit_1.2.3_1764727542_report.json,redux-router-kit@1.2.3,MEDIUM,0.5747,0.7748,0.3440
_zapier+stubtree_0.1.2_1764726979_report.json,@zapier/stubtree@0.1.2,HIGH,0.7748,0.7748,0.3440
react-element-prompt-inspector_0.1.18_1764727468_report.json,react-element-prompt-inspector@0.1.18,HIGH,1.0000,0.7748,0.3440
