Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
_microsoft+api-documenter_1764518319_report.json,@microsoft/api-documenter,LOW,0.0325,0.7748,0.3440
_adobe+aio-lib-ims-jwt_1764518418_report.json,@adobe/aio-lib-ims-jwt,LOW,0.1518,0.7748,0.3440
_webitel+ui-sdk_1764518466_report.json,@webitel/ui-sdk,LOW,0.2237,0.7748,0.3440
vite-plugin-lib-inject-css_1764518404_report.json,vite-plugin-lib-inject-css,LOW,0.2237,0.7748,0.3440
_loki+core_1764518413_report.json,@loki/core,LOW,0.0325,0.7748,0.3440
nofs_1764518436_report.json,nofs,LOW,0.0325,0.7748,0.3440
is-my-ip-valid_1764518389_report.json,is-my-ip-valid,LOW,0.0325,0.7748,0.3440
hxz-api_1764518318_report.json,hxz-api,LOW,0.0325,0.7748,0.3440
_logto+api_1764518310_report.json,@logto/api,LOW,0.0325,0.7748,0.3440
_paroicms+internal-anywhere-lib_1764518464_report.json,@paroicms/internal-anywhere-lib,LOW,0.0325,0.7748,0.3440
_metamask+keyring-api_1764518252_report.json,@metamask/keyring-api,LOW,0.0325,0.7748,0.3440
_testmo+testmo-api_1764518271_report.json,@testmo/testmo-api,LOW,0.0325,0.7748,0.3440
zeelib_1764518459_report.json,zeelib,LOW,0.0325,0.7748,0.3440
_rushstack+heft-api-extractor-plugin_1764518375_report.json,@rushstack/heft-api-extractor-plugin,LOW,0.0325,0.7748,0.3440
_thoughtspot+rest-api-sdk_1764518339_report.json,@thoughtspot/rest-api-sdk,LOW,0.0325,0.7748,0.3440
_svar-ui+lib-dom_1764518425_report.json,@svar-ui/lib-dom,LOW,0.0325,0.7748,0.3440
_enonic-types+lib-admin_1764518435_report.json,@enonic-types/lib-admin,LOW,0.0325,0.7748,0.3440
_aleph-alpha+lib-auth_1764518418_report.json,@aleph-alpha/lib-auth,LOW,0.0325,0.7748,0.3440
_steedos+filters_1764518468_report.json,@steedos/filters,LOW,0.0325,0.7748,0.3440
_ocap+mcrypto_1764518510_report.json,@ocap/mcrypto,LOW,0.0325,0.7748,0.3440
_eslint+core_1764518562_report.json,@eslint/core,LOW,0.0325,0.7748,0.3440
better-xlsx_1764518521_report.json,better-xlsx,LOW,0.0634,0.7748,0.3440
_adobe+aio-lib-core-networking_1764518392_report.json,@adobe/aio-lib-core-networking,LOW,0.1518,0.7748,0.3440
_logion+node-api_1764518268_report.json,@logion/node-api,LOW,0.0325,0.7748,0.3440
_mocks-server+admin-api-paths_1764518279_report.json,@mocks-server/admin-api-paths,LOW,0.0325,0.7748,0.3440
ts-api-utils_1764518238_report.json,ts-api-utils,LOW,0.0325,0.7748,0.3440
_lokalise+node-api_1764518248_report.json,@lokalise/node-api,LOW,0.0325,0.7748,0.3440
_microsoft+api-extractor_1764518259_report.json,@microsoft/api-extractor,LOW,0.0325,0.7748,0.3440
_antv+g-device-api_1764518368_report.json,@antv/g-device-api,LOW,0.0634,0.7748,0.3440
_verdaccio+commons-api_1764518244_report.json,@verdaccio/commons-api,LOW,0.0325,0.7748,0.3440
_types+istanbul-lib-hook_1764518427_report.json,@types/istanbul-lib-hook,LOW,0.0325,0.7748,0.3440
_onfido+api_1764518273_report.json,@onfido/api,LOW,0.0634,0.7748,0.3440
_mollie+api-client_1764518328_report.json,@mollie/api-client,LOW,0.0325,0.7748,0.3440
_forge+api_1764518274_report.json,@forge/api,LOW,0.0325,0.7748,0.3440
_gitbeaker+core_1764518265_report.json,@gitbeaker/core,LOW,0.0325,0.7748,0.3440
dogapi_1764518257_report.json,dogapi,LOW,0.0325,0.7748,0.3440
_base44+sdk_1764518312_report.json,@base44/sdk,LOW,0.0325,0.7748,0.3440
http2-wrapper_1764518363_report.json,http2-wrapper,LOW,0.0325,0.7748,0.3440
enzyme-drivers_1764518564_report.json,enzyme-drivers,LOW,0.0325,0.7748,0.3440
nwsapi_1764518282_report.json,nwsapi,LOW,0.0325,0.7748,0.3440
cordova-serve_1764518495_report.json,cordova-serve,LOW,0.0634,0.7748,0.3440
_rym-lib+uri_1764518525_report.json,@rym-lib/uri,LOW,0.0325,0.7748,0.3440
eccodes-data-grib2_1764518533_report.json,eccodes-data-grib2,LOW,0.0634,0.7748,0.3440
_unkey+api_1764518326_report.json,@unkey/api,LOW,0.0325,0.7748,0.3440
_enonic-types+lib-context_1764518432_report.json,@enonic-types/lib-context,LOW,0.0325,0.7748,0.3440
_capibox+bridge-browser_1764518473_report.json,@capibox/bridge-browser,LOW,0.0325,0.7748,0.3440
google-translate-api-x_1764518368_report.json,google-translate-api-x,LOW,0.0325,0.7748,0.3440
_scalar+api-client_1764518291_report.json,@scalar/api-client,MEDIUM,0.3440,0.7748,0.3440
_types+istanbul-lib-coverage_1764518382_report.json,@types/istanbul-lib-coverage,LOW,0.0325,0.7748,0.3440
_backstage+core-app-api_1764518327_report.json,@backstage/core-app-api,LOW,0.0325,0.7748,0.3440
_liff+is-api-available_1764518291_report.json,@liff/is-api-available,LOW,0.0634,0.7748,0.3440
rfg-api_1764518346_report.json,rfg-api,LOW,0.0325,0.7748,0.3440
json-api-serializer_1764518273_report.json,json-api-serializer,LOW,0.0325,0.7748,0.3440
jquery-deferred_1764518414_report.json,jquery-deferred,LOW,0.0325,0.7748,0.3440
_automattic+tour-kit_1764518540_report.json,@automattic/tour-kit,MEDIUM,0.6824,0.7748,0.3440
_cubejs-backend+api-gateway_1764518365_report.json,@cubejs-backend/api-gateway,MEDIUM,0.3508,0.7748,0.3440
validate-vat_1764518433_report.json,validate-vat,LOW,0.0325,0.7748,0.3440
_emotion+styled_1764518283_report.json,@emotion/styled,LOW,0.0325,0.7748,0.3440
_adyen+api-library_1764518326_report.json,@adyen/api-library,LOW,0.0325,0.7748,0.3440
_nuxtjs+composition-api_1764518338_report.json,@nuxtjs/composition-api,LOW,0.0662,0.7748,0.3440
_rss3+api-utils_1764518381_report.json,@rss3/api-utils,LOW,0.0325,0.7748,0.3440
api-spec-converter_1764518334_report.json,api-spec-converter,LOW,0.2237,0.7748,0.3440
strong-globalize_1764518373_report.json,strong-globalize,LOW,0.0325,0.7748,0.3440
_storybook+core-webpack_1764518380_report.json,@storybook/core-webpack,LOW,0.2237,0.7748,0.3440
_redocly+theme_1764518429_report.json,@redocly/theme,LOW,0.0325,0.7748,0.3440
vue-google-charts_1764518437_report.json,vue-google-charts,LOW,0.0325,0.7748,0.3440
azu-pck-ts_1764518562_report.json,azu-pck-ts,LOW,0.1575,0.7748,0.3440
