package_name,version,overall_score,risk_level,typosquat_score,cadence_score,maintainer_checks_score,size_score,reputation_score,timing_score,dependency_score,num_signals,num_maintainers,signals_summary
api,latest,0.479,low,0.733,0.52,0.0,0.0,0.0,0.0,0.7,4,9,typosquat_detected;rapid_release_burst;multiple_maintainers;suspicious_dependency
node-addon-api,latest,0.191,low,0.0,0.49,0.0,0.0,0.0,0.0,0.1,3,7,rapid_release_burst;multiple_maintainers;no_dependencies
@opentelemetry/api,latest,0.36,low,0.0,0.49,0.0,0.0,0.0,0.0,0.1,2,2,rapid_release_burst;no_dependencies
@opentelemetry/api-logs,latest,0.0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
@webassemblyjs/helper-api-error,latest,0.478,low,0.0,0.55,0.3,0.9,0.3,0.0,0.1,5,1,rapid_release_burst;single_maintainer;sudden_size_increase;single_maintainer;no_dependencies
@storybook/api,latest,0.274,low,0.0,0.64,0.0,0.0,0.0,0.0,0.0,2,12,rapid_release_burst;multiple_maintainers
@storybook/client-api,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,12,rapid_release_burst;multiple_maintainers
@vue/devtools-api,latest,0.378,low,0.0,0.715,0.0,0.0,0.0,0.0,0.0,3,5,dormancy_then_activity;rapid_release_burst;multiple_maintainers
@memlab/api,latest,0.327,low,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2,3,multiple_maintainers;suspicious_dependency
@walletconnect/relay-api,latest,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,multiple_maintainers
ts-api-utils,latest,0.447,low,0.0,0.49,0.3,0.819,0.3,0.0,0.1,5,1,rapid_release_burst;single_maintainer;sudden_size_increase;single_maintainer;no_dependencies
@slack/web-api,latest,0.356,low,0.0,0.649,0.0,0.0,0.0,0.0,0.0,3,10,dormancy_then_activity;rapid_release_burst;multiple_maintainers
micro-api-client,latest,0.201,low,0.0,0.52,0.0,0.0,0.0,0.0,0.1,3,19,rapid_release_burst;multiple_maintainers;no_dependencies
@react-google-maps/api,latest,0.58,medium,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
@hubspot/api-client,latest,0.298,low,0.0,0.61,0.0,0.4,0.0,0.0,0.0,3,35,rapid_release_burst;abnormally_large_package;multiple_maintainers
@types/connect-history-api-fallback,latest,0.3,low,0.0,0.0,0.3,0.0,0.3,0.0,0.0,2,1,single_maintainer;single_maintainer
@storybook/manager-api,latest,0.191,low,0.0,0.49,0.0,0.0,0.0,0.0,0.1,3,12,rapid_release_burst;multiple_maintainers;no_dependencies
@aws-amplify/api,latest,0.433,low,0.0,0.7,0.0,0.0,0.0,0.0,0.7,3,6,rapid_release_burst;multiple_maintainers;suspicious_dependency
safe-buffer,latest,0.36,low,0.0,0.49,0.0,0.0,0.0,0.0,0.1,2,2,rapid_release_burst;no_dependencies
@netlify/api,latest,0.223,low,0.0,0.52,0.0,0.0,0.0,0.0,0.0,2,19,rapid_release_burst;multiple_maintainers
@netlify/open-api,latest,0.346,low,0.0,0.697,0.0,0.0,0.0,0.0,0.1,4,19,dormancy_then_activity;rapid_release_burst;multiple_maintainers;no_dependencies
broccoli-node-api,latest,0.212,low,0.0,0.55,0.0,0.0,0.0,0.0,0.1,3,4,rapid_release_burst;multiple_maintainers;no_dependencies
node-api-headers,latest,0.328,low,0.0,0.8,0.0,0.0,0.0,0.0,0.1,3,4,dormancy_then_activity;multiple_maintainers;no_dependencies
@verdaccio/commons-api,latest,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,multiple_maintainers
node-telegram-bot-api,latest,0.658,medium,0.0,0.61,0.0,0.0,0.0,0.0,0.7,2,2,rapid_release_burst;suspicious_dependency
@tauri-apps/api,latest,0.425,low,0.0,0.52,0.0,0.9,0.0,0.0,0.1,4,6,rapid_release_burst;sudden_size_increase;multiple_maintainers;no_dependencies
@mondaydotcomorg/api,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,111,rapid_release_burst;multiple_maintainers
testcafe-legacy-api,latest,0.454,low,0.0,0.55,0.3,0.0,0.3,0.0,0.7,4,1,rapid_release_burst;single_maintainer;single_maintainer;suspicious_dependency
@polkadot/api-augment,latest,0.7,medium,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
@metamask/keyring-api,latest,0.223,low,0.0,0.52,0.0,0.0,0.0,0.0,0.0,2,3,rapid_release_burst;multiple_maintainers
@netlify/serverless-functions-api,latest,0.394,low,0.0,0.55,0.0,0.782,0.0,0.0,0.1,4,19,rapid_release_burst;sudden_size_increase;multiple_maintainers;no_dependencies
@lokalise/node-api,latest,0.191,low,0.0,0.49,0.0,0.0,0.0,0.0,0.1,3,20,rapid_release_burst;multiple_maintainers;no_dependencies
@microsoft/teamsfx-api,latest,0.261,low,0.0,0.61,0.0,0.0,0.0,0.0,0.0,2,4,rapid_release_burst;multiple_maintainers
npm-api,latest,0.389,low,0.0,0.61,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@aws-amplify/api-graphql,latest,0.39,low,0.0,0.55,0.0,0.0,0.0,0.0,0.7,3,6,rapid_release_burst;multiple_maintainers;suspicious_dependency
vue-hot-reload-api,latest,0.38,low,0.0,0.52,0.0,0.0,0.0,0.0,0.1,2,2,rapid_release_burst;no_dependencies
@logion/node-api,latest,0.603,medium,0.0,0.49,0.0,0.0,0.0,0.0,0.7,2,2,rapid_release_burst;suspicious_dependency
@webcontainer/api,latest,0.418,low,0.0,0.49,0.0,0.9,0.0,0.0,0.1,4,6,rapid_release_burst;sudden_size_increase;multiple_maintainers;no_dependencies
stripe,latest,0.501,medium,0.0,0.716,0.3,0.0,0.3,0.0,0.7,5,1,dormancy_then_activity;rapid_release_burst;single_maintainer;single_maintainer;suspicious_dependency
@aws-amplify/api-rest,latest,0.236,low,0.0,0.55,0.0,0.0,0.0,0.0,0.0,2,6,rapid_release_burst;multiple_maintainers
@microsoft/api-extractor,latest,0.49,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
@dataform/core,latest,0.212,low,0.0,0.55,0.0,0.0,0.0,0.0,0.1,3,5,rapid_release_burst;multiple_maintainers;no_dependencies
@crowdin/crowdin-api-client,latest,0.502,medium,0.0,0.64,0.0,0.9,0.0,0.0,0.0,3,3,rapid_release_burst;sudden_size_increase;multiple_maintainers
@metamask/account-api,latest,0.461,low,0.0,0.49,0.0,0.9,0.0,0.0,0.0,3,3,rapid_release_burst;sudden_size_increase;multiple_maintainers
buffer,latest,0.441,low,0.0,0.49,0.3,0.0,0.3,0.0,0.7,4,1,rapid_release_burst;single_maintainer;single_maintainer;suspicious_dependency
dogapi,latest,0.441,low,0.0,0.49,0.3,0.0,0.3,0.0,0.7,4,1,rapid_release_burst;single_maintainer;single_maintainer;suspicious_dependency
safer-buffer,latest,0.338,low,0.0,0.55,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
@request/api,latest,0.0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
json-api-normalizer,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@swagger-api/apidom-ns-api-design-systems,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
node-docker-api,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
cypress-plugin-api,latest,0.414,low,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
u2f-api,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
@argos-ci/api-client,latest,0.408,low,0.0,0.49,0.3,0.55,0.3,0.0,0.0,4,1,rapid_release_burst;single_maintainer;sudden_size_increase;single_maintainer
@neondatabase/api-client,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,8,rapid_release_burst;multiple_maintainers
@alwaysmeticulous/api,latest,0.33,low,0.0,0.52,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
@scalar/api-client,latest,0.3,low,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2,10,rapid_release_burst;multiple_maintainers
shopify-api-node,latest,0.603,medium,0.0,0.49,0.0,0.0,0.0,0.0,0.7,2,2,rapid_release_burst;suspicious_dependency
@giphy/js-fetch-api,latest,0.517,medium,0.0,0.55,0.3,0.9,0.3,0.0,0.0,4,1,rapid_release_burst;single_maintainer;sudden_size_increase;single_maintainer
@gitbeaker/core,latest,0.472,low,0.0,0.61,0.3,0.0,0.3,0.0,0.7,5,1,rapid_release_burst;suspicious_version_number;single_maintainer;single_maintainer;suspicious_dependency
@liff/server-api,latest,0.357,low,0.0,0.0,0.3,0.0,0.3,0.5,0.0,3,1,single_maintainer;single_maintainer;unusual_release_hours
reflect-metadata,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
@metamask/keyring-internal-api,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,3,rapid_release_burst;multiple_maintainers
@wordpress/api-fetch,latest,0.448,low,0.0,0.49,0.0,0.644,0.0,0.0,0.7,4,23,rapid_release_burst;sudden_size_increase;multiple_maintainers;suspicious_dependency
smartling-api-sdk-nodejs,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@testmo/testmo-api,latest,0.461,low,0.0,0.49,0.0,0.9,0.0,0.0,0.0,3,5,rapid_release_burst;sudden_size_increase;multiple_maintainers
@forge/api,latest,0.467,low,0.0,0.49,0.3,0.557,0.3,0.0,0.7,5,1,rapid_release_burst;single_maintainer;sudden_size_increase;single_maintainer;suspicious_dependency
@inquirer/core,latest,0.591,medium,0.0,0.678,0.0,0.0,0.0,0.0,0.0,2,2,dormancy_then_activity;rapid_release_burst
@backstage/backend-plugin-api,latest,0.342,low,0.0,0.64,0.0,0.0,0.0,0.5,0.0,3,3,rapid_release_burst;multiple_maintainers;unusual_release_hours
@turnkey/api-key-stamper,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,3,rapid_release_burst;multiple_maintainers
connect-history-api-fallback,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
api-contract-validator,latest,0.261,low,0.0,0.61,0.0,0.0,0.0,0.0,0.0,2,3,rapid_release_burst;multiple_maintainers
@onfido/api,latest,0.3,low,0.0,0.0,0.3,0.0,0.3,0.0,0.0,2,1,single_maintainer;single_maintainer
@medusajs/api-key,latest,0.222,low,0.0,0.58,0.0,0.0,0.0,0.0,0.1,3,3,rapid_release_burst;multiple_maintainers;no_dependencies
@storybook/core,latest,0.399,low,0.0,0.58,0.0,0.4,0.0,0.0,0.7,4,12,rapid_release_burst;abnormally_large_package;multiple_maintainers;suspicious_dependency
@moralisweb3/aptos-api,latest,0.223,low,0.0,0.52,0.0,0.0,0.0,0.0,0.0,2,4,rapid_release_burst;multiple_maintainers
json-api-serializer,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@moralisweb3/sol-api,latest,0.369,low,0.0,0.49,0.0,0.647,0.0,0.0,0.0,3,4,rapid_release_burst;sudden_size_increase;multiple_maintainers
@octokit/rest,latest,0.38,low,0.0,0.58,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
web3,latest,0.49,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
discord-api-types,latest,0.33,low,0.0,0.5,0.0,0.52,0.0,0.0,0.1,5,3,rapid_release_burst;suspicious_version_number;sudden_size_increase;multiple_maintainers;no_dependencies
@mocks-server/admin-api-paths,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
@emotion/styled,latest,0.249,low,0.0,0.58,0.0,0.0,0.0,0.0,0.0,2,4,rapid_release_burst;multiple_maintainers
@bull-board/api,latest,0.414,low,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@twilio-labs/serverless-api,latest,0.6,medium,0.0,0.58,0.0,0.527,0.0,0.0,0.7,3,2,rapid_release_burst;sudden_size_increase;suspicious_dependency
n8n-nodes-evolution-api,latest,0.414,low,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@octokit/endpoint,latest,0.38,low,0.0,0.58,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
urlpattern-polyfill,latest,0.36,low,0.0,0.55,0.0,0.674,0.0,0.0,0.1,4,3,rapid_release_burst;sudden_size_increase;multiple_maintainers;no_dependencies
@scalar/nextjs-api-reference,latest,0.261,low,0.0,0.61,0.0,0.0,0.0,0.0,0.0,2,10,rapid_release_burst;multiple_maintainers
@microsoft/api-extractor-model,latest,0.737,medium,0.0,0.52,0.0,0.9,0.0,0.0,0.0,2,2,rapid_release_burst;sudden_size_increase
nwsapi,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
jest-mock,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,5,rapid_release_burst;multiple_maintainers
@metamask/multichain-api-client,latest,0.201,low,0.0,0.52,0.0,0.0,0.0,0.0,0.1,3,3,rapid_release_burst;multiple_maintainers;no_dependencies
@salesforce/plugin-api,latest,0.373,low,0.0,0.49,0.0,0.0,0.0,0.0,0.7,3,47,rapid_release_burst;multiple_maintainers;suspicious_dependency
figma-api,latest,0.58,medium,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
@figma/rest-api-spec,latest,0.027,low,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,56,multiple_maintainers;no_dependencies
@backstage/backend-app-api,latest,0.342,low,0.0,0.64,0.0,0.0,0.0,0.5,0.0,3,3,rapid_release_burst;multiple_maintainers;unusual_release_hours
@swagger-api/apidom-parser-adapter-api-design-systems-json,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@nuxtjs/composition-api,latest,0.46,low,0.0,0.58,0.3,0.0,0.3,0.0,0.7,4,1,rapid_release_burst;single_maintainer;single_maintainer;suspicious_dependency
callsites,latest,0.267,low,0.0,0.0,0.3,0.0,0.3,0.0,0.1,3,1,single_maintainer;single_maintainer;no_dependencies
google-ads-api,latest,0.236,low,0.0,0.55,0.0,0.0,0.0,0.0,0.0,2,8,rapid_release_burst;multiple_maintainers
@liff/is-api-available,latest,0.357,low,0.0,0.0,0.3,0.0,0.3,0.5,0.0,3,1,single_maintainer;single_maintainer;unusual_release_hours
@antv/g-camera-api,latest,0.249,low,0.0,0.58,0.0,0.0,0.0,0.0,0.0,2,71,rapid_release_burst;multiple_maintainers
@backstage/core-plugin-api,latest,0.297,low,0.0,0.49,0.0,0.0,0.0,0.5,0.0,3,3,rapid_release_burst;multiple_maintainers;unusual_release_hours
tailwind-api-utils,latest,0.433,low,0.0,0.7,0.3,0.0,0.3,0.5,0.0,4,1,rapid_release_burst;single_maintainer;single_maintainer;unusual_release_hours
qase-api-client,latest,0.3,low,0.0,0.0,0.3,0.0,0.3,0.0,0.0,2,1,single_maintainer;single_maintainer
@aws-sdk/middleware-sdk-api-gateway,latest,0.52,medium,0.0,0.52,0.0,0.0,0.0,0.0,0.0,1,2,rapid_release_burst
@redocly/respect-core,latest,0.353,low,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3,6,rapid_release_burst;suspicious_version_number;multiple_maintainers
gettyimages-api,latest,0.027,low,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,4,multiple_maintainers;no_dependencies
github-api,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,5,rapid_release_burst;multiple_maintainers
google-gax,latest,0.21,low,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2,3,rapid_release_burst;multiple_maintainers
@aws-amplify/amplify-category-api,latest,0.433,low,0.0,0.7,0.0,0.0,0.0,0.0,0.7,3,6,rapid_release_burst;multiple_maintainers;suspicious_dependency
redux-api-middleware,latest,0.5,medium,0.0,0.7,0.0,0.0,0.0,0.0,0.1,2,2,rapid_release_burst;no_dependencies
@transifex/api,latest,0.446,low,0.0,0.719,0.3,0.0,0.3,0.0,0.0,4,1,dormancy_then_activity;rapid_release_burst;single_maintainer;single_maintainer
klaviyo-api,latest,0.325,low,0.0,0.0,0.3,0.4,0.3,0.0,0.0,3,1,single_maintainer;abnormally_large_package;single_maintainer
@swagger-api/apidom-parser-adapter-api-design-systems-yaml,latest,0.354,low,0.0,0.49,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
@storybook/core-client,latest,0.3,low,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2,12,rapid_release_burst;multiple_maintainers
@octokit/auth-token,latest,0.323,low,0.0,0.49,0.3,0.0,0.3,0.0,0.1,4,1,rapid_release_burst;single_maintainer;single_maintainer;no_dependencies
node-api-version,latest,0.371,low,0.0,0.55,0.3,0.0,0.3,0.0,0.0,3,1,rapid_release_burst;single_maintainer;single_maintainer
fullscreen-api-polyfill,latest,0.367,low,0.0,0.0,0.0,0.0,0.0,0.5,0.1,2,2,unusual_release_hours;no_dependencies
@node-red/editor-api,latest,0.603,medium,0.0,0.49,0.0,0.0,0.0,0.0,0.7,2,2,rapid_release_burst;suspicious_dependency
