Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
lang-codes,0.5747,MEDIUM,0.88018,HIGH
@voiceflow/react-chat,0.0634,LOW,0.88814,HIGH
@ensdomains/curvearithmetics,1,HIGH,0.87999,HIGH
@posthog/filter-out-plugin,0.7748,HIGH,0.87978,HIGH
@voiceflow/voice-types,0.7748,HIGH,0.04769,HIGH
@voiceflow/voice-types,0.7748,HIGH,0.04769,HIGH
@zapier/ai-actions-react,0.0634,LOW,0.01306,HIGH
@zapier/ai-actions-react,0.0634,LOW,0.01306,HIGH
@ensdomains/test-utils,0.7748,HIGH,0.87972,HIGH
@accordproject/markdown-it-cicero,0.7748,HIGH,0.88381,HIGH
tiaan,0.5747,MEDIUM,0.87969,HIGH
dotnet-template,0.0634,LOW,0.9574,HIGH
@postman/pretty-ms,0.5747,MEDIUM,0,HIGH
@postman/pretty-ms,0.5747,MEDIUM,0,HIGH
@postman/pretty-ms,0.5747,MEDIUM,0,HIGH
@actbase/node-server,1,HIGH,0.90399,HIGH
ids-css,1,HIGH,0.88267,HIGH
react-native-retriable-fetch,0.7748,HIGH,0.8797,HIGH
@postman/mcp-ui-client,0.0634,LOW,0,HIGH
@postman/mcp-ui-client,0.0634,LOW,0,HIGH
@postman/mcp-ui-client,0.0634,LOW,0,HIGH
@voiceflow/google-dfes-types,0.7748,HIGH,0.04804,HIGH
@voiceflow/google-dfes-types,0.7748,HIGH,0.04804,HIGH
react-keycloak-context,0.9471,HIGH,0.04638,HIGH
react-keycloak-context,0.9471,HIGH,0.04638,HIGH
@postman/node-keytar,1,HIGH,0,HIGH
@postman/node-keytar,1,HIGH,0,HIGH
@postman/node-keytar,1,HIGH,0,HIGH
redux-router-kit,0.5747,MEDIUM,0.88244,HIGH
@zapier/stubtree,0.7748,HIGH,0.04651,HIGH
@zapier/stubtree,0.7748,HIGH,0.04651,HIGH
react-element-prompt-inspector,1,HIGH,0.63471,HIGH
@actbase/react-absolute,0.0634,LOW,0.87974,HIGH
bytecode-checker-cli,0.7748,HIGH,0.04644,HIGH
bytecode-checker-cli,0.7748,HIGH,0.04644,HIGH
@asyncapi/generator-react-sdk,0.0634,LOW,0.96589,HIGH
@zapier/secret-scrubber,0.0634,LOW,0.88684,HIGH
