Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
api,0.2237,LOW,0,LOW
node-addon-api,0.0634,LOW,0.05077,LOW
@opentelemetry/api,0.0325,LOW,0.03191,LOW
@opentelemetry/api-logs,0.0325,LOW,0.01932,LOW
@webassemblyjs/helper-api-error,0.0325,LOW,0.01385,LOW
@storybook/api,0.0325,LOW,0.05077,LOW
@storybook/client-api,0.0325,LOW,0.05077,LOW
@vue/devtools-api,0.0325,LOW,0.05077,LOW
@memlab/api,0.04,LOW,0.00076,LOW
@walletconnect/relay-api,0.0325,LOW,0.05107,MEDIUM
ts-api-utils,0.0325,LOW,0.01254,LOW
@slack/web-api,0.0325,LOW,0.00444,LOW
micro-api-client,0.0325,LOW,0.00898,LOW
@react-google-maps/api,0.0325,LOW,0.16776,MEDIUM
@hubspot/api-client,0.0325,LOW,0.01391,LOW
@types/connect-history-api-fallback,0.0325,LOW,0.05077,LOW
@storybook/manager-api,0.2237,LOW,0.01385,LOW
@aws-amplify/api,0.0325,LOW,0.04136,LOW
safe-buffer,0.0325,LOW,0.05043,LOW
@netlify/api,0.0325,LOW,0.02664,LOW
@netlify/open-api,0.0325,LOW,0.00423,LOW
broccoli-node-api,0.0325,LOW,0,LOW
node-api-headers,0.0325,LOW,0.05077,LOW
@verdaccio/commons-api,0.0325,LOW,0.05077,LOW
node-telegram-bot-api,0.0325,LOW,0,LOW
@tauri-apps/api,0.0325,LOW,0.04057,LOW
@mondaydotcomorg/api,0.0325,LOW,0.19958,MEDIUM
testcafe-legacy-api,0.0325,LOW,0.07669,MEDIUM
@polkadot/api-augment,0.0325,LOW,0.01482,LOW
@metamask/keyring-api,0.0325,LOW,0.0508,LOW
@netlify/serverless-functions-api,0.0325,LOW,0.01424,LOW
@lokalise/node-api,0.0325,LOW,0.05295,MEDIUM
@microsoft/teamsfx-api,0.0325,LOW,0.06329,MEDIUM
npm-api,0.0325,LOW,0.00002,LOW
@aws-amplify/api-graphql,0.0325,LOW,0.10976,MEDIUM
vue-hot-reload-api,0.0634,LOW,0.0277,LOW
@logion/node-api,0.0325,LOW,0.0514,MEDIUM
