index,PACKAGE_NAME,logit_score,prob_malicious,label
0,2024-12-03-@solana_web3.js-v1.95.7,0.86739,0.7991,1
1,2024-12-20-@rspack_cli-v1.1.7,1.11509,0.88593,1
2,2024-12-20-@rspack_core-v1.1.7,1.4013,0.95523,1
3,2024-12-20-vant-v2.13.3,1.08466,0.87636,1
4,2024-12-20-vant-v2.13.4,1.0846,0.87635,1
5,2024-12-20-vant-v2.13.5,1.08466,0.87636,1
6,2024-12-20-vant-v3.6.13,1.10386,0.88245,1
7,2024-12-20-vant-v3.6.14,1.08463,0.87635,1
8,2024-12-20-vant-v4.9.12,1.08466,0.87636,1
9,2024-12-20-vant-v4.9.13,1.08467,0.87637,1
10,2024-12-20-vant-v4.9.14,1.10385,0.88244,1
11,2025-03-20-@rxap_ngx-bootstrap-v19.0.3,-1.20638,0.08775,1
12,2025-04-21-xrpl-v2.14.2,0.29279,0.58423,1
13,2025-04-21-xrpl-v4.2.1,0.29351,0.58446,1
14,2025-04-21-xrpl-v4.2.2,0.29437,0.58474,1
15,2025-04-21-xrpl-v4.2.3,0.29279,0.58423,1
16,2025-04-21-xrpl-v4.2.4,0.29279,0.58423,1
17,2025-06-06-@react-native-aria_focus-v0.2.10,-1.37925,0.04871,1
18,2025-06-07-@gluestack-ui_utils-v0.1.16,-1.30875,0.06288,1
19,2025-06-07-@gluestack-ui_utils-v0.1.17,-1.30996,0.06262,1
20,2025-06-07-@react-native-aria_button-v0.2.11,-1.38107,0.04838,1
21,2025-06-07-@react-native-aria_checkbox-v0.2.11,-1.37927,0.04871,1
22,2025-06-07-@react-native-aria_combobox-v0.2.8,-1.38375,0.04789,1
23,2025-06-07-@react-native-aria_disclosure-v0.2.9,-1.37925,0.04871,1
24,2025-06-07-@react-native-aria_interactions-v0.2.17,-1.37925,0.04871,1
25,2025-06-07-@react-native-aria_listbox-v0.2.10,-1.41659,0.04217,1
26,2025-06-07-@react-native-aria_menu-v0.2.16,-1.38852,0.04703,1
27,2025-06-07-@react-native-aria_overlays-v0.3.16,-1.38237,0.04814,1
28,2025-06-07-@react-native-aria_radio-v0.2.14,-1.37867,0.04882,1
29,2025-06-07-@react-native-aria_separator-v0.2.7,-1.37925,0.04871,1
30,2025-06-07-@react-native-aria_slider-v0.2.13,-1.38352,0.04793,1
31,2025-06-07-@react-native-aria_switch-v0.2.5,-1.38423,0.0478,1
32,2025-06-07-@react-native-aria_tabs-v0.2.14,-1.38563,0.04755,1
33,2025-06-07-@react-native-aria_toggle-v0.2.12,-1.38007,0.04856,1
34,2025-06-07-@react-native-aria_utils-v0.2.13,-1.47295,0.0335,1
35,2025-06-09-xrpl-v4.3.0,-0.57674,0.31427,1
36,2025-06-24-@rxap_ngx-bootstrap-v19.0.4,-1.59081,0.01969,1
37,2025-07-17-got-fetch-v5.1.11,-1.37654,0.04921,1
38,2025-07-17-got-fetch-v5.1.12,-1.3766,0.0492,1
39,2025-07-18-@pkgr_core-v0.2.8,-1.37925,0.04871,1
40,2025-07-18-eslint-config-prettier-v10.1.7,-1.37411,0.04966,1
41,2025-07-18-eslint-config-prettier-v8.10.1,-1.37211,0.05004,1
42,2025-07-18-eslint-config-prettier-v9.1.1,-1.37145,0.05016,1
43,2025-07-18-eslint-plugin-prettier-v4.2.3,-1.7052,0.01096,1
44,2025-07-18-napi-postinstall-v0.3.1,-1.36907,0.05061,1
45,2025-07-18-synckit-v0.11.9,-1.37465,0.04956,1
46,2025-07-19-is-v3.3.1,1.09222,0.87877,1
47,2025-07-19-is-v5.0.0,1.09018,0.87813,1
48,2025-07-20-@toptal_picasso-charts-v59.1.4,3.5444,1.0,1
49,2025-07-20-@toptal_picasso-forms-v73.3.2,3.54475,1.0,1
50,2025-07-20-@toptal_picasso-provider-v5.1.1,3.54447,1.0,1
51,2025-07-20-@toptal_picasso-quote-v2.1.7,3.54443,1.0,1
52,2025-07-20-@toptal_picasso-select-v4.2.2,3.54443,1.0,1
53,2025-07-20-@toptal_picasso-shared-v15.1.0,3.54477,1.0,1
54,2025-07-20-@toptal_picasso-tailwind-v3.1.0,3.54447,1.0,1
55,2025-07-20-@toptal_picasso-typography-v4.1.4,3.5444,1.0,1
56,2025-07-20-@toptal_picasso-utils-v3.2.0,3.54448,1.0,1
57,2025-07-20-@xene_core-v0.4.1,3.5444,1.0,1
58,2025-08-26-@nx_devkit-v21.5.0,1.57998,0.97926,1
59,2025-08-26-@nx_enterprise-cloud-v3.2.0,1.62647,0.98347,1
60,2025-08-26-@nx_eslint-v21.5.0,2.05623,0.99891,1
61,2025-08-26-@nx_js-v21.5.0,-1.68331,0.01233,1
62,2025-08-26-@nx_key-v3.2.0,1.69965,0.9887,1
63,2025-08-26-@nx_node-v21.5.0,2.08468,0.99913,1
64,2025-08-26-@nx_workspace-v21.5.0,1.23606,0.91998,1
65,2025-09-08-ansi-regex-v6.2.1,-1.07225,0.12765,1
66,2025-09-08-ansi-styles-v6.2.2,-1.03193,0.14106,1
67,2025-09-08-backslash-v0.2.1,-0.91521,0.18283,1
68,2025-09-08-chalk-template-v1.1.1,-1.0295,0.14189,1
69,2025-09-08-color-convert-v3.1.1,-1.03031,0.14162,1
70,2025-09-08-color-name-v2.0.1,-1.03,0.14172,1
71,2025-09-08-debug-v4.4.2,-1.02714,0.1427,1
72,2025-09-08-error-ex-v1.3.3,-1.03,0.14172,1
73,2025-09-08-has-ansi-v6.0.1,-1.02896,0.14208,1
74,2025-09-08-is-arrayish-v0.3.3,-1.03,0.14172,1
75,2025-09-08-simple-swizzle-v0.2.3,-1.02887,0.14211,1
76,2025-09-08-slice-ansi-v7.1.1,-1.02635,0.14297,1
77,2025-09-08-supports-hyperlinks-v4.1.1,-1.03,0.14172,1
78,2025-09-08-wrap-ansi-v9.0.1,-1.02668,0.14285,1
79,2025-09-09-@coveops_abi-v2.0.1,-1.22508,0.08284,1
80,2025-09-09-@duckdb_duckdb-wasm-v1.29.2,1.18251,0.90573,1
81,2025-09-09-@duckdb_node-api-v1.3.3,-1.03,0.14172,1
82,2025-09-09-duckdb-v1.3.3,-0.951,0.16962,1
83,2025-09-14-@hestjs_core-v0.2.1,2.59204,1.0,1
84,2025-09-14-@hestjs_cqrs-v0.1.6,2.58966,1.0,1
85,2025-09-14-@hestjs_demo-v0.1.2,2.5814,1.0,1
86,2025-09-14-@hestjs_eslint-config-v0.1.2,2.58246,1.0,1
87,2025-09-14-@hestjs_logger-v0.1.6,2.58775,1.0,1
88,2025-09-14-@hestjs_scalar-v0.1.7,2.27397,0.99984,1
89,2025-09-14-@hestjs_validation-v0.1.6,2.58816,1.0,1
90,2025-09-14-@nexe_config-manager-v0.1.1,2.587,1.0,1
91,2025-09-14-@nexe_eslint-config-v0.1.1,2.58211,1.0,1
92,2025-09-14-@nexe_logger-v0.1.3,2.58735,1.0,1
93,2025-09-14-@teselagen_bio-parsers-v0.4.29,2.6677,1.0,1
94,2025-09-14-@teselagen_bounce-loader-v0.3.16,2.57641,0.99999,1
95,2025-09-14-@teselagen_file-utils-v0.3.21,2.64556,1.0,1
96,2025-09-14-@teselagen_liquibase-tools-v0.4.1,2.69497,1.0,1
97,2025-09-14-@teselagen_range-utils-v0.3.14,2.60275,1.0,1
98,2025-09-14-@teselagen_react-list-v0.8.19,2.57756,0.99999,1
99,2025-09-14-@teselagen_sequence-utils-v0.3.33,2.66126,1.0,1
100,2025-09-14-@thangved_callback-window-v1.1.4,2.45621,0.99998,1
101,2025-09-14-@tnf-dev_api-v1.0.8,2.46156,0.99998,1
102,2025-09-14-@tnf-dev_core-v1.0.8,2.45768,0.99998,1
103,2025-09-14-@tnf-dev_js-v1.0.8,2.46187,0.99998,1
104,2025-09-14-@tnf-dev_mui-v1.0.8,2.46161,0.99998,1
105,2025-09-14-@tnf-dev_react-v1.0.8,2.47596,0.99998,1
106,2025-09-14-airchief-v0.3.1,2.26945,0.99983,1
107,2025-09-14-airpilot-v0.8.8,2.47122,0.99998,1
108,2025-09-14-create-hest-app-v0.1.9,3.17178,1.0,1
109,2025-09-14-encounter-playground-v0.0.2,2.45568,0.99998,1
110,2025-09-14-encounter-playground-v0.0.3,2.58178,1.0,1
111,2025-09-14-encounter-playground-v0.0.4,2.57568,0.99999,1
112,2025-09-14-eslint-config-teselagen-v6.1.7,2.59351,1.0,1
113,2025-09-14-graphql-sequelize-teselagen-v5.3.8,2.59218,1.0,1
114,2025-09-14-html-to-base64-image-v1.0.2,2.45437,0.99998,1
115,2025-09-14-json-rules-engine-simplified-v0.2.1,2.47789,0.99998,1
116,2025-09-14-json-rules-engine-simplified-v0.2.3,2.59478,1.0,1
117,2025-09-14-jumpgate-v0.0.2,2.45398,0.99998,1
118,2025-09-14-mcp-knowledge-base-v0.0.2,2.4539,0.99998,1
119,2025-09-14-mcp-knowledge-graph-v1.2.1,2.32043,0.9999,1
120,2025-09-14-oradm-to-gql-v35.0.14,2.62975,1.0,1
121,2025-09-14-oradm-to-sqlz-v1.1.2,2.57221,0.99999,1
122,2025-09-14-oradm-to-sqlz-v1.1.4,2.67866,1.0,1
123,2025-09-14-ove-auto-annotate-v0.0.9,2.6837,1.0,1
124,2025-09-14-react-complaint-image-v0.0.32,2.57611,0.99999,1
125,2025-09-14-react-complaint-image-v0.0.34,2.6822,1.0,1
126,2025-09-14-react-jsonschema-form-conditionals-v0.3.18,2.61176,1.0,1
127,2025-09-14-react-jsonschema-form-conditionals-v0.3.20,2.71439,1.0,1
128,2025-09-14-react-jsonschema-form-extras-v1.0.3,2.73798,1.0,1
129,2025-09-14-react-jsonschema-rxnt-extras-v0.4.8,2.62143,1.0,1
130,2025-09-14-rxnt-authentication-v0.0.3,2.45199,0.99998,1
131,2025-09-14-rxnt-authentication-v0.0.4,2.57813,0.99999,1
132,2025-09-14-rxnt-authentication-v0.0.5,2.57163,0.99999,1
133,2025-09-14-rxnt-healthchecks-nestjs-v1.0.2,2.4541,0.99998,1
134,2025-09-14-rxnt-healthchecks-nestjs-v1.0.3,2.57999,0.99999,1
135,2025-09-14-rxnt-healthchecks-nestjs-v1.0.4,2.5735,0.99999,1
136,2025-09-14-rxnt-kue-v1.0.4,2.14085,0.99945,1
137,2025-09-14-rxnt-kue-v1.0.5,2.30926,0.99988,1
138,2025-09-14-rxnt-kue-v1.0.6,2.30066,0.99987,1
139,2025-09-14-tg-client-query-builder-v2.14.4,2.57846,0.99999,1
140,2025-09-14-tg-redbird-v1.3.1,2.64716,1.0,1
141,2025-09-14-tg-seq-gen-v1.0.9,2.5758,0.99999,1
142,2025-09-14-thangved-react-grid-v1.0.3,2.3142,0.99989,1
143,2025-09-14-tvi-cli-v0.1.5,2.24066,0.99978,1
144,2025-09-14-ve-bamreader-v0.2.6,2.59402,1.0,1
145,2025-09-14-ve-editor-v1.0.1,2.62553,1.0,1
146,2025-09-15-@ahmedhfarag_ngx-perfect-scrollbar-v20.0.20,2.58429,1.0,1
147,2025-09-15-@ahmedhfarag_ngx-virtual-scroller-v4.0.4,2.59027,1.0,1
148,2025-09-15-@art-ws_common-v2.0.28,2.60351,1.0,1
149,2025-09-15-@art-ws_config-eslint-v2.0.4,2.57324,0.99999,1
150,2025-09-15-@art-ws_config-ts-v2.0.7,2.57313,0.99999,1
151,2025-09-15-@art-ws_config-ts-v2.0.8,2.57324,0.99999,1
152,2025-09-15-@art-ws_db-context-v2.0.24,2.57861,0.99999,1
153,2025-09-15-@art-ws_di-node-v2.0.13,2.57635,0.99999,1
154,2025-09-15-@art-ws_di-v2.0.28,2.57829,0.99999,1
155,2025-09-15-@art-ws_di-v2.0.32,2.57897,0.99999,1
156,2025-09-15-@art-ws_eslint-v1.0.5,2.57425,0.99999,1
157,2025-09-15-@art-ws_eslint-v1.0.6,2.5744,0.99999,1
158,2025-09-15-@art-ws_fastify-http-server-v2.0.24,2.57663,0.99999,1
159,2025-09-15-@art-ws_fastify-http-server-v2.0.27,2.57698,0.99999,1
160,2025-09-15-@art-ws_http-server-v2.0.21,2.57585,0.99999,1
161,2025-09-15-@art-ws_http-server-v2.0.25,2.57613,0.99999,1
162,2025-09-15-@art-ws_openapi-v0.1.12,2.57435,0.99999,1
163,2025-09-15-@art-ws_openapi-v0.1.9,2.57404,0.99999,1
164,2025-09-15-@art-ws_package-base-v1.0.5,2.57308,0.99999,1
165,2025-09-15-@art-ws_prettier-v1.0.5,2.57305,0.99999,1
166,2025-09-15-@art-ws_slf-v2.0.15,2.57663,0.99999,1
167,2025-09-15-@art-ws_slf-v2.0.22,2.57734,0.99999,1
168,2025-09-15-@art-ws_ssl-info-v1.0.10,2.57479,0.99999,1
169,2025-09-15-@art-ws_ssl-info-v1.0.9,2.57465,0.99999,1
170,2025-09-15-@art-ws_web-app-v1.0.3,2.57974,0.99999,1
171,2025-09-15-@ctrl_deluge-v7.2.1,2.51524,0.99999,1
172,2025-09-15-@ctrl_deluge-v7.2.2,2.51548,0.99999,1
173,2025-09-15-@ctrl_golang-template-v1.4.2,2.45584,0.99998,1
174,2025-09-15-@ctrl_golang-template-v1.4.3,2.45604,0.99998,1
175,2025-09-15-@ctrl_magnet-link-v4.0.3,2.45531,0.99998,1
176,2025-09-15-@ctrl_magnet-link-v4.0.4,2.45555,0.99998,1
177,2025-09-15-@ctrl_ngx-codemirror-v7.0.1,2.58685,1.0,1
178,2025-09-15-@ctrl_ngx-codemirror-v7.0.2,2.587,1.0,1
179,2025-09-15-@ctrl_ngx-csv-v6.0.1,2.5815,1.0,1
180,2025-09-15-@ctrl_ngx-csv-v6.0.2,2.58166,1.0,1
181,2025-09-15-@ctrl_ngx-rightclick-v4.0.1,2.59324,1.0,1
182,2025-09-15-@ctrl_ngx-rightclick-v4.0.2,2.59338,1.0,1
183,2025-09-15-@ctrl_qbittorrent-v9.7.1,2.51963,0.99999,1
184,2025-09-15-@ctrl_qbittorrent-v9.7.2,2.51988,0.99999,1
185,2025-09-15-@ctrl_react-adsense-v2.0.1,2.45477,0.99998,1
186,2025-09-15-@ctrl_react-adsense-v2.0.2,2.45501,0.99998,1
187,2025-09-15-@ctrl_shared-torrent-v6.3.1,2.45579,0.99998,1
188,2025-09-15-@ctrl_shared-torrent-v6.3.2,2.45603,0.99998,1
189,2025-09-15-@ctrl_tinycolor-v4.1.1,2.48172,0.99998,1
190,2025-09-15-@ctrl_tinycolor-v4.1.2,2.48189,0.99998,1
191,2025-09-15-@ctrl_torrent-file-v4.1.1,2.45421,0.99998,1
192,2025-09-15-@ctrl_torrent-file-v4.1.2,2.45444,0.99998,1
193,2025-09-15-@ctrl_transmission-v7.3.1,2.48637,0.99998,1
194,2025-09-15-@ctrl_ts-base32-v4.0.1,2.45678,0.99998,1
195,2025-09-15-@ctrl_ts-base32-v4.0.2,2.457,0.99998,1
196,2025-09-15-@nativescript-community_arraybuffers-v1.1.6,2.57923,0.99999,1
197,2025-09-15-@nativescript-community_arraybuffers-v1.1.7,2.57988,0.99999,1
198,2025-09-15-@nativescript-community_gesturehandler-v2.0.35,2.615,1.0,1
199,2025-09-15-@nativescript-community_perms-v3.0.5,2.61263,1.0,1
200,2025-09-15-@nativescript-community_perms-v3.0.6,2.61306,1.0,1
201,2025-09-15-@nativescript-community_perms-v3.0.9,2.61344,1.0,1
202,2025-09-15-@nativescript-community_sentry-v4.6.43,2.63323,1.0,1
203,2025-09-15-@nativescript-community_sqlite-v3.5.4,2.58448,1.0,1
204,2025-09-15-@nativescript-community_sqlite-v3.5.5,2.58474,1.0,1
205,2025-09-15-@nativescript-community_text-v1.6.10,2.6063,1.0,1
206,2025-09-15-@nativescript-community_text-v1.6.13,2.60663,1.0,1
207,2025-09-15-@nativescript-community_text-v1.6.9,2.60594,1.0,1
208,2025-09-15-@nativescript-community_ui-collectionview-v6.0.6,2.6422,1.0,1
209,2025-09-15-@nativescript-community_ui-document-picker-v1.1.28,2.59292,1.0,1
210,2025-09-15-@nativescript-community_ui-drawer-v0.1.30,2.60117,1.0,1
211,2025-09-15-@nativescript-community_ui-image-v4.5.6,2.62917,1.0,1
212,2025-09-15-@nativescript-community_ui-label-v1.3.35,2.60705,1.0,1
213,2025-09-15-@nativescript-community_ui-label-v1.3.36,2.60744,1.0,1
214,2025-09-15-@nativescript-community_ui-material-bottom-navigation-v7.2.73,2.62903,1.0,1
215,2025-09-15-@nativescript-community_ui-material-bottomsheet-v7.2.72,2.63651,1.0,1
216,2025-09-15-@nativescript-community_ui-material-core-tabs-v7.2.73,2.61567,1.0,1
217,2025-09-15-@nativescript-community_ui-material-core-tabs-v7.2.75,2.61584,1.0,1
218,2025-09-15-@nativescript-community_ui-material-core-tabs-v7.2.76,2.61598,1.0,1
219,2025-09-15-@nativescript-community_ui-material-core-v7.2.73,2.63159,1.0,1
220,2025-09-15-@nativescript-community_ui-material-core-v7.2.76,2.63182,1.0,1
221,2025-09-15-@nativescript-community_ui-material-tabs-v7.2.73,2.63196,1.0,1
222,2025-09-15-@nativescript-community_ui-pager-v14.1.36,2.62094,1.0,1
223,2025-09-15-@nativescript-community_ui-pager-v14.1.38,2.62113,1.0,1
224,2025-09-15-@nativescript-community_ui-pulltorefresh-v2.5.5,2.57736,0.99999,1
225,2025-09-15-@nstudio_angular-v20.0.4,2.61655,1.0,1
226,2025-09-15-@nstudio_angular-v20.0.5,2.61677,1.0,1
227,2025-09-15-@nstudio_focus-v20.0.5,2.59762,1.0,1
228,2025-09-15-@nstudio_focus-v20.0.6,2.59777,1.0,1
229,2025-09-15-@nstudio_nativescript-checkbox-v2.0.6,2.58186,1.0,1
230,2025-09-15-@nstudio_nativescript-checkbox-v2.0.7,2.58223,1.0,1
231,2025-09-15-@nstudio_nativescript-checkbox-v2.0.9,2.58242,1.0,1
232,2025-09-15-@nstudio_nativescript-loading-indicator-v5.0.1,2.58862,1.0,1
233,2025-09-15-@nstudio_nativescript-loading-indicator-v5.0.2,2.58899,1.0,1
234,2025-09-15-@nstudio_nativescript-loading-indicator-v5.0.4,2.58917,1.0,1
235,2025-09-15-@nstudio_ui-collectionview-v5.1.11,2.60557,1.0,1
236,2025-09-15-@nstudio_ui-collectionview-v5.1.12,2.60588,1.0,1
237,2025-09-15-@nstudio_ui-collectionview-v5.1.14,2.60604,1.0,1
