threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.0,475,5250,0,0,1.0,0.0,475,5250
0.0001,475,4783,467,0,0.91105,0.0,475,5250
0.0002,475,4751,499,0,0.90495,0.0,475,5250
0.0003,475,4729,521,0,0.90076,0.0,475,5250
0.0004,475,4712,538,0,0.89752,0.0,475,5250
0.0005,475,4694,556,0,0.8941,0.0,475,5250
0.0006,475,4689,561,0,0.89314,0.0,475,5250
0.0007,475,4677,573,0,0.89086,0.0,475,5250
0.0008,475,4666,584,0,0.88876,0.0,475,5250
0.0009,475,4660,590,0,0.88762,0.0,475,5250
0.001,475,4656,594,0,0.88686,0.0,475,5250
0.0011,475,4653,597,0,0.88629,0.0,475,5250
0.0012,475,4646,604,0,0.88495,0.0,475,5250
0.0013,475,4642,608,0,0.88419,0.0,475,5250
0.0014,475,4637,613,0,0.88324,0.0,475,5250
0.0015,475,4630,620,0,0.8819,0.0,475,5250
0.0016,475,4605,645,0,0.87714,0.0,475,5250
0.0017,475,4597,653,0,0.87562,0.0,475,5250
0.0018,475,4595,655,0,0.87524,0.0,475,5250
0.0019,475,4590,660,0,0.87429,0.0,475,5250
0.002,475,4584,666,0,0.87314,0.0,475,5250
0.0021,475,4577,673,0,0.87181,0.0,475,5250
0.0022,475,4572,678,0,0.87086,0.0,475,5250
0.0023,475,4566,684,0,0.86971,0.0,475,5250
0.0024,475,4559,691,0,0.86838,0.0,475,5250
0.0025,475,4554,696,0,0.86743,0.0,475,5250
0.0026,475,4549,701,0,0.86648,0.0,475,5250
0.0027,475,4547,703,0,0.8661,0.0,475,5250
0.0028,475,4542,708,0,0.86514,0.0,475,5250
0.0029,475,4539,711,0,0.86457,0.0,475,5250
0.003,475,4536,714,0,0.864,0.0,475,5250
0.0031,475,4529,721,0,0.86267,0.0,475,5250
0.0032,475,4527,723,0,0.86229,0.0,475,5250
0.0033,475,4523,727,0,0.86152,0.0,475,5250
0.0034,475,4520,730,0,0.86095,0.0,475,5250
0.0035,475,4519,731,0,0.86076,0.0,475,5250
0.0036,475,4512,738,0,0.85943,0.0,475,5250
0.0037,475,4510,740,0,0.85905,0.0,475,5250
0.0038,475,4507,743,0,0.85848,0.0,475,5250
0.0039,475,4506,744,0,0.85829,0.0,475,5250
0.004,475,4505,745,0,0.8581,0.0,475,5250
0.0041,475,4502,748,0,0.85752,0.0,475,5250
0.0042,475,4497,753,0,0.85657,0.0,475,5250
0.0043,475,4493,757,0,0.85581,0.0,475,5250
0.0044,475,4489,761,0,0.85505,0.0,475,5250
0.0045,475,4486,764,0,0.85448,0.0,475,5250
0.0046,475,4485,765,0,0.85429,0.0,475,5250
0.0047,475,4483,767,0,0.8539,0.0,475,5250
0.0048,475,4481,769,0,0.85352,0.0,475,5250
0.0049,475,4478,772,0,0.85295,0.0,475,5250
0.005,475,4478,772,0,0.85295,0.0,475,5250
0.0051,475,4475,775,0,0.85238,0.0,475,5250
0.0052,475,4471,779,0,0.85162,0.0,475,5250
0.0053,475,4467,783,0,0.85086,0.0,475,5250
0.0054,475,4466,784,0,0.85067,0.0,475,5250
0.0055,475,4461,789,0,0.84971,0.0,475,5250
0.0056,475,4460,790,0,0.84952,0.0,475,5250
0.0057,475,4457,793,0,0.84895,0.0,475,5250
0.0058,475,4451,799,0,0.84781,0.0,475,5250
0.0059,475,4450,800,0,0.84762,0.0,475,5250
0.006,475,4448,802,0,0.84724,0.0,475,5250
0.0061,475,4447,803,0,0.84705,0.0,475,5250
0.0062,475,4442,808,0,0.8461,0.0,475,5250
0.0063,475,4440,810,0,0.84571,0.0,475,5250
0.0064,475,4437,813,0,0.84514,0.0,475,5250
0.0065,475,4436,814,0,0.84495,0.0,475,5250
0.0066,475,4436,814,0,0.84495,0.0,475,5250
0.0067,475,4435,815,0,0.84476,0.0,475,5250
0.0068,475,4430,820,0,0.84381,0.0,475,5250
0.0069,475,4427,823,0,0.84324,0.0,475,5250
0.007,475,4425,825,0,0.84286,0.0,475,5250
0.0071,475,4423,827,0,0.84248,0.0,475,5250
0.0072,475,4414,836,0,0.84076,0.0,475,5250
0.0073,475,4411,839,0,0.84019,0.0,475,5250
0.0074,475,4410,840,0,0.84,0.0,475,5250
0.0075,475,4408,842,0,0.83962,0.0,475,5250
0.0076,475,4404,846,0,0.83886,0.0,475,5250
0.0077,475,4403,847,0,0.83867,0.0,475,5250
0.0078,475,4402,848,0,0.83848,0.0,475,5250
0.0079,475,4399,851,0,0.8379,0.0,475,5250
0.008,475,4394,856,0,0.83695,0.0,475,5250
0.0081,475,4389,861,0,0.836,0.0,475,5250
0.0082,475,4387,863,0,0.83562,0.0,475,5250
0.0083,475,4382,868,0,0.83467,0.0,475,5250
0.0084,475,4380,870,0,0.83429,0.0,475,5250
0.0085,475,4376,874,0,0.83352,0.0,475,5250
0.0086,475,4376,874,0,0.83352,0.0,475,5250
0.0087,475,4370,880,0,0.83238,0.0,475,5250
0.0088,475,4366,884,0,0.83162,0.0,475,5250
0.0089,475,4363,887,0,0.83105,0.0,475,5250
0.009,475,4361,889,0,0.83067,0.0,475,5250
0.0091,475,4358,892,0,0.8301,0.0,475,5250
