threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.0,475,5250,0,0,1.0,0.0,475,5250
0.001,475,4663,587,0,0.88819,0.0,475,5250
0.002,475,4590,660,0,0.87429,0.0,475,5250
0.003,475,4541,709,0,0.86495,0.0,475,5250
0.004,475,4512,738,0,0.85943,0.0,475,5250
0.005,475,4482,768,0,0.85371,0.0,475,5250
0.006,475,4455,795,0,0.84857,0.0,475,5250
0.007,475,4429,821,0,0.84362,0.0,475,5250
0.008,475,4399,851,0,0.8379,0.0,475,5250
0.009,475,4370,880,0,0.83238,0.0,475,5250
0.01,475,4340,910,0,0.82667,0.0,475,5250
0.011,475,4308,942,0,0.82057,0.0,475,5250
0.012,475,4266,984,0,0.81257,0.0,475,5250
0.013,474,4075,1175,1,0.77619,0.00211,475,5250
0.014,474,3448,1802,1,0.65676,0.00211,475,5250
0.015,474,3422,1828,1,0.65181,0.00211,475,5250
0.016,474,3394,1856,1,0.64648,0.00211,475,5250
0.017,474,3380,1870,1,0.64381,0.00211,475,5250
0.018,474,3367,1883,1,0.64133,0.00211,475,5250
0.019,473,3347,1903,2,0.63752,0.00421,475,5250
0.02,473,3312,1938,2,0.63086,0.00421,475,5250
0.021,473,3262,1988,2,0.62133,0.00421,475,5250
0.022,473,3244,2006,2,0.6179,0.00421,475,5250
0.023,473,3228,2022,2,0.61486,0.00421,475,5250
0.024,473,3210,2040,2,0.61143,0.00421,475,5250
0.025,473,3192,2058,2,0.608,0.00421,475,5250
0.026,473,3167,2083,2,0.60324,0.00421,475,5250
0.027,473,3146,2104,2,0.59924,0.00421,475,5250
0.028,473,3127,2123,2,0.59562,0.00421,475,5250
0.029,473,3115,2135,2,0.59333,0.00421,475,5250
0.03,473,3103,2147,2,0.59105,0.00421,475,5250
0.031,473,3082,2168,2,0.58705,0.00421,475,5250
0.032,473,3051,2199,2,0.58114,0.00421,475,5250
0.033,473,3036,2214,2,0.57829,0.00421,475,5250
0.034,472,3023,2227,3,0.57581,0.00632,475,5250
0.035,472,3007,2243,3,0.57276,0.00632,475,5250
0.036,472,2991,2259,3,0.56971,0.00632,475,5250
0.037,472,2969,2281,3,0.56552,0.00632,475,5250
0.038,472,2948,2302,3,0.56152,0.00632,475,5250
0.039,472,2909,2341,3,0.5541,0.00632,475,5250
0.04,472,2878,2372,3,0.54819,0.00632,475,5250
0.041,472,2857,2393,3,0.54419,0.00632,475,5250
0.042,472,2832,2418,3,0.53943,0.00632,475,5250
0.043,472,2653,2597,3,0.50533,0.00632,475,5250
0.044,471,2599,2651,4,0.49505,0.00842,475,5250
0.045,471,2575,2675,4,0.49048,0.00842,475,5250
0.046,470,2544,2706,5,0.48457,0.01053,475,5250
0.047,470,2511,2739,5,0.47829,0.01053,475,5250
0.048,470,2470,2780,5,0.47048,0.01053,475,5250
0.049,469,2421,2829,6,0.46114,0.01263,475,5250
0.05,464,2368,2882,11,0.45105,0.02316,475,5250
0.051,455,922,4328,20,0.17562,0.04211,475,5250
0.052,449,818,4432,26,0.15581,0.05474,475,5250
0.053,448,797,4453,27,0.15181,0.05684,475,5250
0.054,448,781,4469,27,0.14876,0.05684,475,5250
0.055,448,769,4481,27,0.14648,0.05684,475,5250
0.056,448,759,4491,27,0.14457,0.05684,475,5250
0.057,448,748,4502,27,0.14248,0.05684,475,5250
0.058,448,739,4511,27,0.14076,0.05684,475,5250
0.059,448,731,4519,27,0.13924,0.05684,475,5250
0.06,448,722,4528,27,0.13752,0.05684,475,5250
0.061,448,719,4531,27,0.13695,0.05684,475,5250
0.062,448,712,4538,27,0.13562,0.05684,475,5250
0.063,448,708,4542,27,0.13486,0.05684,475,5250
0.064,446,701,4549,29,0.13352,0.06105,475,5250
0.065,446,693,4557,29,0.132,0.06105,475,5250
0.066,446,685,4565,29,0.13048,0.06105,475,5250
0.067,446,680,4570,29,0.12952,0.06105,475,5250
0.068,446,667,4583,29,0.12705,0.06105,475,5250
0.069,446,661,4589,29,0.1259,0.06105,475,5250
0.07,446,655,4595,29,0.12476,0.06105,475,5250
0.071,446,646,4604,29,0.12305,0.06105,475,5250
0.072,446,641,4609,29,0.1221,0.06105,475,5250
0.073,446,601,4649,29,0.11448,0.06105,475,5250
0.074,446,585,4665,29,0.11143,0.06105,475,5250
0.075,446,578,4672,29,0.1101,0.06105,475,5250
0.076,446,569,4681,29,0.10838,0.06105,475,5250
0.077,446,565,4685,29,0.10762,0.06105,475,5250
0.078,446,561,4689,29,0.10686,0.06105,475,5250
0.079,445,554,4696,30,0.10552,0.06316,475,5250
0.08,445,546,4704,30,0.104,0.06316,475,5250
0.081,444,543,4707,31,0.10343,0.06526,475,5250
0.082,444,533,4717,31,0.10152,0.06526,475,5250
