A1_command_literal,A1_command_url,A1_command_variable,A1_dynamic_literal,A1_dynamic_url,A1_dynamic_variable,A2_decode_string_literal,A2_decode_variable,A3_CONFIG_OR_URL,A3_LOG_OR_MESSAGE,A3_OTHER,A3_SECRETS,B1_total_providers,B1_total_refs,B1_total_secrets,B2_EXCHANGE,B2_OTHER,B2_PUBLISH,B2_VALIDATE,B2_total_events,B2_total_providers,C1_API_PASTEBIN,C1_API_WEBHOOK_SITE,C1_CLOUD_METADATA,C1_CLOUD_PROVIDER,C1_DEV_HOST,C1_LOCALHOST,C1_PACKAGE_INFRA,C1_PUBLIC_IP,C1_domain_url_hits,C1_ip_url_hits,C1_raw_url_hits,C1_skipped_invalid_urls,C1_suspicious_ip_hits,C1_valid_url_hits,C2_cloud_auth,C2_dev_code_host,C2_other_suspicious,C2_sink_exfil,C2_total_hits,C3_generic_exec_like,C3_net_fetch,C3_net_generic_request,C3_net_node_dns_module,C3_net_node_http_module,C3_net_websocket,C3_proc_child_exec,D1_auth,D1_publish,D1_push,D2_lifecycle_hook_string,D2_pkg_json_write,D2_scripts_field_touch,E2_bin_ge_1000000,F1_hook_postinstall,F1_hook_preinstall,F1_hook_prepare,F1_optionalDependencies,F1_scripts_block,A1_command_literal_density,A1_command_url_density,A1_command_variable_density,A1_dynamic_literal_density,A1_dynamic_url_density,A1_dynamic_variable_density,A2_decode_string_literal_density,A2_decode_variable_density,A3_CONFIG_OR_URL_density,A3_LOG_OR_MESSAGE_density,A3_OTHER_density,A3_SECRETS_density,C1_CLOUD_PROVIDER_density,C1_DEV_HOST_density,C1_LOCALHOST_density,C1_PACKAGE_INFRA_density,C1_PUBLIC_IP_density,C1_domain_url_hits_density,C1_ip_url_hits_density,C1_raw_url_hits_density,C1_skipped_invalid_urls_density,C1_valid_url_hits_density,C2_cloud_auth_density,C2_dev_code_host_density,C2_total_hits_density,C3_generic_exec_like_density,C3_net_fetch_density,C3_net_generic_request_density,C3_net_node_dns_module_density,C3_net_node_http_module_density,C3_proc_child_exec_density,D1_total_hits,D1_ext_unique_ecosystems,E2_ext_ge_10000,E2_ext_ge_100000,combo4a_pkgwrite_install,combo4b_scripts_install,combo5a_secrets_highrisk_exfil,combo6a_worm_strong
0,0,0,0,0,0,0,8,15,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,302,0,302,0,0,302,0,8,0,0,8,0,31,24,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012770031655642,0.939894380935433,1.5664906348923882,0.5012770031655642,0.0,0.0,7.393835796692073,0.0,0.0,0.0,18.923206869500053,0.0,18.923206869500053,0.0,18.923206869500053,0.0,0.5012770031655642,0.5012770031655642,0.0,1.9424483872665614,1.503831009496693,0.0,0.12531925079139106,0.0,0,0,1,1,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,1,17,1,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.21583121998597096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0791560999298548,0.0,0.0,0.0,1.6187341498947823,0.10791560999298548,1.8345653698807531,0.10791560999298548,1.7266497598877677,0.0,0.0,0.0,0.0,0.10791560999298548,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,2,0,183,1,185,1,0,184,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,14,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.04947412713415924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.869499373781236,0.0,0.04947412713415924,0.0,4.52688263277557,0.02473706356707962,4.5763567599097295,0.02473706356707962,4.55161969634265,0.0,0.0,0.0,0.0,0.02473706356707962,0.02473706356707962,0.0,0.09894825426831848,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06014652294454521,0.0,0.0,0.0,0.4210256606118164,0.0,0.4210256606118164,0.0,0.4210256606118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01649554599638665,0.0,0.0,0.0,0.14021214096928653,0.0,0.14021214096928653,0.0,0.14021214096928653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02711417712200634,0.0,0.0,0.0,0.23047050553705387,0.0,0.23047050553705387,0.0,0.23047050553705387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,1,22,1,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02757183721559736,0.0,0.0,0.0,0.1378591860779868,0.00689295930389934,0.1516451046857855,0.00689295930389934,0.14475214538188613,0.0,0.0,0.0,0.0,0.00689295930389934,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037128531364234045,0.0,0.0,0.0,0.25989971954963836,0.0,0.25989971954963836,0.0,0.25989971954963836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026127509824923477,0.0,0.0,0.0,0.22208383351184954,0.0,0.22208383351184954,0.0,0.22208383351184954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09007706543333148,0.0,0.0,0.0,0.6305394580333205,0.0,0.6305394580333205,0.0,0.6305394580333205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,1,22,1,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022124920509309032,0.0,0.0,0.0,0.11062460254654517,0.005531230127327258,0.12168706280119969,0.005531230127327258,0.11615583267387242,0.0,0.0,0.0,0.0,0.005531230127327258,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,10,0,0,0,63,0,63,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0678709691431426,0.0,0.0,0.0,0.0678709691431426,0.0,0.0,0.0,0.0,0.0,0.6787096914314259,0.0,0.0,0.0,4.275871056017984,0.0,4.275871056017984,0.0,4.275871056017984,0.0,0.0,0.0,0.0,0.0678709691431426,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,147,0,152,5,0,147,0,2,0,0,2,0,12,78,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14302680706278417,0.0,0.0,0.0,1.1065758230646987,0.0,1.1442144565022734,0.03763863343757478,1.1065758230646987,0.0,0.015055453375029913,0.015055453375029913,0.0,0.09033272025017948,0.5871626816261666,0.0,0.0,0.0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,144,0,149,5,0,144,0,2,0,0,2,0,9,78,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14352507401927997,0.0,0.0,0.0,1.0877689820408585,0.0,1.1255387383617217,0.03776975632086315,1.0877689820408585,0.0,0.015107902528345258,0.015107902528345258,0.0,0.06798556137755365,0.5892081986054651,0.0,0.0,0.0,0,0,1,0,0,0,0,0
