PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS
-xun__js-2.0.0,LOW,0.01091
02112019lab6-1.0.0,LOW,0.0
02_add_lodash-1.0.0,LOW,0.04871
03-custom-071621-1.0.1,LOW,0.04871
0glabs__0g-ts-sdk-0.3.3,MEDIUM,0.18859
0xsequence__design-system-3.1.3,LOW,0.00361
0xsquid__squid-share-0.1.135,MEDIUM,0.05015
0xsquid__squid-types-0.1.194,LOW,0.04871
100mslive__hms-noise-suppression-0.9.28,LOW,0.01684
10yun__cv-js-utils-0.3.34,MEDIUM,0.05872
18x-0.1.337,LOW,0.03522
1password__op-js-0.1.13,LOW,0.0
20face__js-utils-0.0.11,LOW,0.04871
3cplusv2-sdk-js-0.3.0,MEDIUM,0.10096
42dot__maps-platform-js-0.4.2,LOW,0.01848
5m-js-0.8.1,LOW,0.04871
5to6-codemod-1.8.0,MEDIUM,0.04886
5x__enumjs-1.0.6,LOW,0.04871
68publishers__amp-client-1.9.0,LOW,0.00161
ContentTools-1.6.16,MEDIUM,0.1509
Dante2-0.5.11,MEDIUM,0.2321
JSON-1.0.0,LOW,0.01318
JSONPath-0.11.2,LOW,0.0
a-js-tools-1.0.12,LOW,0.01352
a-simple-switch-0.9.14,LOW,0.04726
a11y-accordion-component-1.2.6,LOW,0.01088
a11y-dialog-component-5.5.1,LOW,0.03425
a11y-dropdown-component-1.2.0,LOW,0.01088
a11y-sitechecker-6.1.0,LOW,0.04871
a2lix__symfony-collection-0.6.1,LOW,0.04871
abbrev-4.0.0,LOW,0.04871
abc-0.6.1,LOW,0.0004
abi-software__map-side-bar-2.11.4,LOW,0.02814
ably__msgpack-js-0.4.1,LOW,4e-05
abnf-js-0.1.9,LOW,0.04871
abtnode__connect-storage-1.17.2,LOW,0.04871
acab__ecsstatic-0.9.0,LOW,0.04871
acala-network__api-6.3.0,LOW,0.04871
accessprotocol__js-2.1.1,LOW,0.04871
accounts__apollo-link-0.32.1,LOW,0.04871
accounts__error-0.32.1,LOW,0.04871
accounts__types-0.33.2,LOW,0.04871
accumulate.js-0.12.0,LOW,0.00932
acelords__js-utils-1.1.12,LOW,0.03958
acheicorridas-sdk-js-1.0.22,MEDIUM,0.05998
achingbrain__http-parser-js-0.5.9,LOW,0.00075
achrinza__strong-type-1.1.20,LOW,0.04871
acler-1.0.0,LOW,0.04871
acm-uiuc__js-shared-3.2.1,LOW,0.04871
acorex__charts-20.2.41,LOW,0.01353
acpaas-ui__js-date-utils-2.0.1,MEDIUM,0.14172
acpaas-ui__js-redux-utils-1.0.4,LOW,0.04871
active-record-js-2.0.31,LOW,0.04871
acuityscheduling-0.1.9,LOW,0.0
ad-rotator-5.8.1,LOW,0.0
ad8-dev__appdocks8-js-dev-0.0.22,LOW,0.03855
