PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS,PREINSTALL
abtnode__logger-1.17.2,LOW,0.05077,
actions__artifact-4.0.0,LOW,0.04992,
actions__attest-2.0.0,LOW,0.00029,
actions__cache-4.1.0,MEDIUM,0.06077,
actions__core-1.11.1,LOW,0.04036,
actions__exec-1.1.1,LOW,1e-05,
actions__github-6.0.1,LOW,0.00128,
actions__glob-0.5.0,LOW,0.05068,
actions__io-2.0.0,LOW,0.04441,
actions__tool-cache-2.0.2,MEDIUM,0.05107,
adobe__aio-cli-lib-app-config-4.1.0,LOW,0.04598,
adobe__aio-lib-console-5.4.2,MEDIUM,0.05529,
adobe__aio-lib-core-networking-5.1.0,LOW,0.00381,
adobe__aio-lib-customer-profile-3.0.2,MEDIUM,0.06017,
adobe__aio-lib-env-3.0.1,LOW,0.04118,
adobe__aio-lib-ims-jwt-5.0.2,LOW,0.03958,
adobe__aio-lib-ims-oauth-6.0.4,LOW,0.00542,
adobe__aio-lib-runtime-7.2.0,LOW,0.00171,
adobe__aio-lib-test-proxy-2.1.0,LOW,0.0,
adyen__api-library-30.0.1,LOW,0.0,
af-mobile-client-vue3-1.4.46,LOW,0.0,
aleph-alpha__lib-auth-0.4.117,LOW,0.01118,
aleph-alpha__lib-http-1.4.104,MEDIUM,0.05107,
algoliasearch-5.45.0,LOW,0.0,
allure-js-commons-3.4.2,LOW,0.03133,
allurereport__core-api-3.0.0-beta.23,LOW,0.05077,
allurereport__plugin-api-3.0.0-beta.23,LOW,0.05077,
allurereport__reader-api-3.0.0-beta.23,LOW,0.0,
alwaysmeticulous__api-2.248.0,MEDIUM,0.08969,
amazon-sp-api-1.2.0,MEDIUM,0.065,
amf-json-ld-lib-0.0.15,LOW,0.04487,
angular-architects__module-federation-runtime-20.0.0,LOW,0.00926,
angular-auth-oidc-client-20.0.3,LOW,0.00139,
ansi-html-0.0.9,LOW,0.04344,
ansi-html-community-0.0.8,LOW,0.04357,
ansis-4.2.0,LOW,0.01385,
antv__g-camera-api-2.0.41,MEDIUM,0.0725,
antv__g-device-api-1.6.13,MEDIUM,0.07835,
antv__s2-2.4.10,MEDIUM,0.0736,
api-6.1.3,LOW,0.0,
api-autoresbot-1.0.6,LOW,0.05045,
api-contract-validator-2.2.8,LOW,0.00073,
api-elements-0.3.2,LOW,0.05077,
api-ref-bundler-0.4.3,MEDIUM,0.14602,
api-spec-converter-2.12.0,HIGH,0.96358,
app-builder-lib-26.0.12,LOW,0.01329,
appbase-js-5.3.4,LOW,0.03687,
arcblock__did-1.27.12,LOW,0.02745,
arcblock__vc-1.27.12,LOW,0.03411,
argos-ci__api-client-0.14.0,LOW,0.03405,
asamuzakjp__nwsapi-2.3.9,LOW,0.04245,
asseinfo__react-kanban-2.2.0,MEDIUM,0.07252,
auth-lib-1.0.0,LOW,0.05077,
authy-1.4.0,LOW,0.04598,
auto-euro__ae-tools-lib-0.21.40,LOW,0.0,
automattic__tour-kit-1.1.3,LOW,0.05043,
aws-amplify__amplify-category-api-5.15.2,LOW,0.0,
aws-amplify__api-6.3.20,LOW,0.04136,
aws-amplify__api-graphql-4.8.1,MEDIUM,0.10976,
aws-amplify__api-rest-4.5.0,LOW,0.05022,
aws-cdk__aws-apigatewayv2-alpha-2.114.1-alpha.0,HIGH,0.33335,
aws-cdk__aws-apigatewayv2-integrations-alpha-2.114.1-alpha.0,LOW,0.05073,
aws-crypto__sha256-js-5.2.0,LOW,0.05011,
aws-sdk__client-api-gateway-3.940.0,MEDIUM,0.05816,
aws-sdk__middleware-sdk-api-gateway-3.936.0,LOW,0.05097,
azu-pck-ts-1.11.54,MEDIUM,0.06802,
azure-pipelines-tool-lib-2.0.10,LOW,0.05078,
azure__swagger-validation-common-0.1.2,LOW,0.0482,
babel-plugin-transform-imports-2.0.0,LOW,0.04048,
backstage__backend-app-api-1.3.0,LOW,0.05081,
backstage__backend-plugin-api-1.5.0,LOW,0.01893,
backstage__core-app-api-1.19.2,MEDIUM,0.05314,
backstage__core-plugin-api-1.12.0,MEDIUM,0.0541,
baconjs-3.0.23,MEDIUM,0.14667,
base44__sdk-0.8.4,LOW,0.04836,
base64-js-1.5.1,LOW,0.01354,
bchr__bchr-front-lib-0.5.11-alpha-2025.10.23.1,LOW,0.01974,
better-xlsx-0.7.6,LOW,0.01217,
bitgo-beta__utxo-ord-1.0.0,LOW,0.03897,
bitgo__utxo-ord-1.22.15,LOW,0.03899,
blackbaud__skyux-lib-addin-client-13.0.2,LOW,0.01385,
