PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS,PREINSTALL
-xun__js-2.0.0,LOW,0.01246,
02112019lab6-1.0.0,LOW,0.0,
02_add_lodash-1.0.0,LOW,0.05077,
03-custom-071621-1.0.1,LOW,0.05077,
0glabs__0g-ts-sdk-0.3.3,MEDIUM,0.16976,
0xsequence__design-system-3.1.3,LOW,0.00353,
0xsquid__squid-share-0.1.135,MEDIUM,0.05487,
0xsquid__squid-types-0.1.194,LOW,0.05077,
100mslive__hms-noise-suppression-0.9.28,LOW,0.01809,
10yun__cv-js-utils-0.3.34,MEDIUM,0.05991,
18x-0.1.337,LOW,0.03389,
1password__op-js-0.1.13,LOW,0.0,
20face__js-utils-0.0.11,LOW,0.05077,
3cplusv2-sdk-js-0.3.0,MEDIUM,0.09366,
42dot__maps-platform-js-0.4.2,LOW,0.01792,
5m-js-0.8.1,LOW,0.05077,
5to6-codemod-1.8.0,LOW,0.05081,
5x__enumjs-1.0.6,LOW,0.05077,
68publishers__amp-client-1.9.0,LOW,0.0017,
ContentTools-1.6.16,MEDIUM,0.15579,
Dante2-0.5.11,HIGH,0.23338,
JSON-1.0.0,LOW,0.0129,
JSONPath-0.11.2,LOW,0.0,
a-js-tools-1.0.12,LOW,0.01385,
a-simple-switch-0.9.14,LOW,0.04874,
a11y-accordion-component-1.2.6,LOW,0.01244,
a11y-dialog-component-5.5.1,LOW,0.03873,
a11y-dropdown-component-1.2.0,LOW,0.01244,
a11y-sitechecker-6.1.0,LOW,0.05077,
a2lix__symfony-collection-0.6.1,LOW,0.05077,
abbrev-4.0.0,LOW,0.05077,
abc-0.6.1,LOW,0.00041,
abi-software__map-side-bar-2.11.4,LOW,0.02772,
ably__msgpack-js-0.4.1,LOW,4e-05,
abnf-js-0.1.9,LOW,0.05077,
abtnode__connect-storage-1.17.2,LOW,0.05077,
acab__ecsstatic-0.9.0,LOW,0.05077,
acala-network__api-6.3.0,LOW,0.05077,
accessprotocol__js-2.1.1,LOW,0.05077,
accounts__apollo-link-0.32.1,LOW,0.05077,
accounts__error-0.32.1,LOW,0.05077,
accounts__types-0.33.2,LOW,0.05077,
accumulate.js-0.12.0,LOW,0.01069,
acelords__js-utils-1.1.12,LOW,0.04037,
acheicorridas-sdk-js-1.0.22,MEDIUM,0.06193,
achingbrain__http-parser-js-0.5.9,LOW,0.00071,
achrinza__strong-type-1.1.20,LOW,0.05077,
acler-1.0.0,LOW,0.05077,
acm-uiuc__js-shared-3.2.1,LOW,0.05077,
acorex__charts-20.2.41,LOW,0.01385,
acpaas-ui__js-date-utils-2.0.1,MEDIUM,0.14602,
acpaas-ui__js-redux-utils-1.0.4,LOW,0.05077,
active-record-js-2.0.31,LOW,0.05077,
acuityscheduling-0.1.9,LOW,0.0,
ad-rotator-5.8.1,LOW,0.0,
ad8-dev__appdocks8-js-dev-0.0.22,LOW,0.04032,
adadapted__js-sdk-2.5.6,LOW,0.01515,
adaptivecards-controls-0.10.1,LOW,0.02038,
adaptivestone__framework-5.0.0-beta.39,LOW,0.00515,
add-asset-html-webpack-plugin-6.0.0,MEDIUM,0.05125,
add-content-workflow-angularjs-1.5.30,MEDIUM,0.05397,
add-js-extension-1.0.4,LOW,0.04857,
addons-moz-compare-1.3.0,LOW,0.04985,
adeira__js-2.1.1,LOW,0.01254,
adler-32-1.3.1,LOW,0.04486,
adler32-js-1.0.2,LOW,0.04972,
adobe__aio-lib-core-tvm-4.0.3,LOW,2e-05,
adobe__cc-ext-uxp-types-7.3.1,LOW,0.02273,
adobe__helix-rum-js-2.14.0,LOW,0.01023,
adobe__reactor-cookie-1.1.0,LOW,1e-05,
adot-js-commons-2.0.0,LOW,0.01385,
adp-core-2.4.10,MEDIUM,0.05697,
advertima__js-libs-0.10.0,HIGH,0.24558,
aeaton__prosemirror-placeholder-2.0.2,LOW,0.01385,
aelf-sdk-3.5.1-beta.0,LOW,0.00611,
aes-cmac-js-1.0.2,LOW,0.04872,
aes-js-3.1.2,LOW,0.04965,
aesjs-1.0.0,LOW,0.05077,
ag-js-utils-0.1.3,MEDIUM,0.14602,
agentary-js-3.0.0,LOW,0.00542,
aggregate-error-or-core-js-1.0.12,LOW,0.01244,
agility__content-fetch-2.0.10,LOW,0.00481,
agm__js-marker-clusterer-1.1.0,LOW,0.043,
agnai__sentencepiece-js-1.1.1,MEDIUM,0.05785,
agora-js__media-4.24.1,LOW,0.01437,
agora-js__report-4.24.1,LOW,0.02056,
agora-js__shared-4.24.1,LOW,0.01161,
agoric__cosmos-0.35.0-u22.1,LOW,0.05077,
agoston-io__client-1.4.0,LOW,0.0,
agrid-js-1.292.11,LOW,0.00795,
ah-logger-3.3.0,LOW,0.05077,
ahamove__ahamove-js-0.1.7,MEDIUM,0.05178,
ahmeti-core-js-2.0.3,LOW,0.0261,
ai-sdk-ollama-1.0.2,LOW,0.00318,
aimless.js-1.0.4,LOW,0.00242,
ainblockchain__ain-js-1.13.3,HIGH,0.85379,
ainft-team__ainft-js-2.1.3,MEDIUM,0.052,
aion-dk__js-client-4.4.10,LOW,0.04429,
airbnb-browser-shims-3.3.0,LOW,0.05077,
airbnb-js-shims-2.2.1,LOW,0.05077,
airkit-1.0.3,LOW,0.01578,
airplay-js-0.3.0,LOW,0.00017,
airtable-kit-0.0.21,LOW,0.03724,
ajaxjs__util-1.1.3,LOW,0.02587,
akord__akord-js-5.13.0,LOW,0.04814,
alanszp__core-17.0.4,LOW,0.05077,
alephium__web3-2.0.7,LOW,0.0,
aliceonboarding-9.1.5,LOW,0.00801,
aligent__utils-1.1.7,LOW,0.02067,
aligoapi-1.1.3,LOW,0.0,
alleycat-js-0.4.25,LOW,0.04132,
alloy-js__create-0.21.0,LOW,0.05087,
allure-decorators-2.15.1,LOW,0.02523,
allure-js-commons-3.4.2,LOW,0.03133,
allure-js-parser-0.1.0,LOW,0.01385,
alphafi__alphalend-sdk-1.1.26,LOW,0.04368,
alpine-lazy-load-assets-1.3.1,LOW,0.05077,
alpinejs-component-1.2.12,LOW,0.0,
alpinejs-notify-1.0.4,LOW,0.0,
alternative-facts-2.1.0,LOW,0.05077,
altizure-2.12.25,LOW,0.0,
altv__types-shared-16.6.0,LOW,0.05016,
amaui__style-1.1.21,MEDIUM,0.07552,
amaui__style-react-1.1.35,LOW,0.02166,
amazon-quicksight-embedding-sdk-2.11.0,MEDIUM,0.14818,
aminya__cmake-ts-0.3.0-aminya.7,LOW,0.05054,
amocrm-js-3.6.0,MEDIUM,0.06916,
ampersand-class-extend-2.0.0,LOW,0.05077,
amplify-nodejs-function-template-provider-2.6.5,LOW,0.05077,
amplitude-js-8.21.9,MEDIUM,0.05923,
analogger-2.0.2,LOW,0.02311,
anarchitects__nx-js-0.0.2,LOW,0.01385,
anatine__zod-mock-3.14.0,LOW,0.01385,
anchor-link-browser-transport-3.6.1,LOW,0.03629,
andrao__eslint-2.2.2,LOW,0.00484,
andrao__prettier-1.0.3,LOW,0.01244,
andrao__tailwind-1.2.0,LOW,0.00769,
androozka__zendesk-api-js-2.0.3,LOW,0.0,
aneeven__js-cloudimage-360-view-3.2.1,LOW,0.05082,
angular-auth0-3.1.0,LOW,0.05077,
angular-esri-components-2.0.0,LOW,0.01355,
angular-feature-flags-1.6.1,LOW,0.03124,
angular-filepicker-1.1.4,LOW,0.02446,
angular-magic__ngx-gp-autocomplete-2.0.2,LOW,1e-05,
angular-mgl-timeline-1.1.0,LOW,0.04296,
angular-morris-js-2.0.1,LOW,0.01385,
angular-nvd3-1.0.9,MEDIUM,0.13859,
angular-object-diff-1.0.3,LOW,0.03184,
angular-promise-buttons-0.1.23,LOW,0.01725,
angular-wizard-1.1.1,LOW,0.0042,
angular2gridster-13.0.0,LOW,0.04296,
angulartoolsdr__buttons-21.0.0,LOW,0.01385,
anoop901__js-util-1.1.8,LOW,0.05077,
anshulsanghi__googlemaps-vitest-mocks-1.0.1,LOW,3e-05,
antbat__base-client-js-0.2.14,HIGH,0.97656,
antd-style-3.7.1,LOW,0.01052,
antv__chart-advisor-2.0.5-alpha.0,MEDIUM,0.07918,
anycable__serverless-js-0.2.1,LOW,0.00012,
anyi-properties-panel-13.0.46,LOW,0.05092,
anymod__core-0.1.51,MEDIUM,0.08593,
apache-dubbo-js-3.0.0-rc6,LOW,0.01071,
apg-api-1.0.1,MEDIUM,0.14541,
apg-conv-api-1.0.1,MEDIUM,0.14611,
apg-js-4.4.0,MEDIUM,0.07103,
apg-lib-3.1.1,LOW,0.04249,
aphrodite-2.4.0,MEDIUM,0.14206,
api-arreya-types-1.0.32,LOW,0.05077,
api-testrail-1.2.3,LOW,0.0,
apitoolkit-js-3.3.3,LOW,0.00064,
apm-js-collab__code-transformer-0.8.2,LOW,0.02308,
app-masters__js-lib-1.2.23,MEDIUM,0.09645,
appbaseio__vue-emotion-0.6.0-alpha.6,LOW,0.04283,
appblocks__js-sdk-0.0.15,LOW,0.0,
appboy-web-sdk-3.5.1,LOW,0.02488,
apple-mapkit-js-6.1.0,LOW,0.00111,
apple-pay-js-stubs-1.0.4,LOW,0.0,
apple__cktool.api.base-1.3.2,LOW,0.00957,
apple__cktool.database-1.3.2,LOW,0.04296,
apple__cktool.target.nodejs-1.3.2,LOW,0.0,
appsfactory__cypress-audit-3.0.4,LOW,0.02904,
apptracer__sdk-2.6.3,LOW,0.05014,
arc-publishing__sdk-identity-1.94.0,LOW,0.0,
arc-publishing__sdk-sales-1.94.0,LOW,0.0,
arc-ui__bundle-11.26.1,LOW,0.05058,
arcblock__bridge-3.2.8,LOW,0.00624,
arces-wot__sepa-js-0.14.0,LOW,0.01112,
arcgis__charts-js-common-4.32.15,LOW,3e-05,
arcteryx__js-language-1.29.0,LOW,0.05077,
arcteryx__js-price-2.2.0,LOW,0.02569,
arction__lcjs-themes-3.2.1,LOW,4e-05,
ardatan__grpc-reflection-js-0.0.2,LOW,0.00016,
ardatan__raml-1-parser-1.1.69,LOW,0.01935,
arduino-create-agent-js-client-2.15.1,LOW,0.01629,
arduino-iot-js-0.9.7,LOW,3e-05,
area17__a17-helpers-3.3.2,LOW,0.00642,
arekx__data-flow-js-1.1.13,LOW,0.05077,
argonautdev__midgard-js-sdk-0.11.4,LOW,0.0,
aribb24.js-2.0.12,LOW,0.02835,
arkntools__arknights-fbs-js-0.0.5,LOW,0.02505,
arkntools__unity-js-4.1.1,LOW,0.00156,
arkntools__unity-js-tools-3.2.0,LOW,0.05077,
arkntools__unity-js-tools-wasm-3.2.0,LOW,0.01736,
array-extensions-1.0.1,LOW,0.05077,
arrows__array-1.4.1,LOW,0.05077,
arseeding-js-fido-0.1.1,LOW,0.04574,
arstotzka-0.14.4,LOW,0.05077,
articstudio__js-bin-2.3.2,LOW,0.02692,
artisan-cloud__ubt-js-1.0.2,LOW,0.00031,
artmoi__artmoi-js-sdk-0.0.30,LOW,0.05077,
arweave-1.15.7,MEDIUM,0.06513,
as-expression-1.0.0,LOW,0.01385,
ascertain-2.0.81,LOW,9e-05,
ascii-art-2.8.5,LOW,0.00154,
asgardeo__auth-js-5.1.2,LOW,0.00289,
asgardeo__js-0.1.3,LOW,0.01584,
asimovdev__asimovjs-1.1.18,LOW,0.0,
ask-sdk-test-2.7.42,MEDIUM,0.15046,
asn1.js-5.4.1,LOW,0.00141,
asn1.js-rfc2560-5.0.1,LOW,0.05077,
asn1.js-rfc3280-4.0.0,LOW,0.0,
asn1.js-rfc5280-3.0.0,LOW,0.05077,
assemblyvoting__js-client-5.0.0-rc.3,LOW,0.04201,
assistsx-js-0.0.2046,LOW,0.03272,
ast-to-literal-0.0.5,LOW,0.05077,
ast-types-0.14.2,LOW,0.05077,
ast-types-x-1.18.0,MEDIUM,0.05115,
ast-types-yx-0.14.2,LOW,0.05077,
aster-js__async-1.4.1,MEDIUM,0.14602,
