PACKAGE_NAME,A1_command_literal,A1_command_url,A1_command_variable,A1_dynamic_literal,A1_dynamic_url,A1_dynamic_variable,A2_decode_string_literal,A2_decode_variable,A3_CONFIG_OR_URL,A3_LOG_OR_MESSAGE,A3_OTHER,A3_SECRETS,B1_total_providers,B1_total_refs,B1_total_secrets,B2_EXCHANGE,B2_OTHER,B2_PUBLISH,B2_VALIDATE,B2_total_events,B2_total_providers,C1_API_PASTEBIN,C1_API_WEBHOOK_SITE,C1_CLOUD_METADATA,C1_CLOUD_PROVIDER,C1_DEV_HOST,C1_LOCALHOST,C1_PACKAGE_INFRA,C1_PUBLIC_IP,C1_domain_url_hits,C1_ip_url_hits,C1_raw_url_hits,C1_skipped_invalid_urls,C1_suspicious_ip_hits,C1_valid_url_hits,C2_cloud_auth,C2_dev_code_host,C2_other_suspicious,C2_sink_exfil,C2_total_hits,C3_generic_exec_like,C3_net_fetch,C3_net_generic_request,C3_net_node_dns_module,C3_net_node_http_module,C3_net_websocket,C3_proc_child_exec,D1_auth,D1_publish,D1_push,D2_lifecycle_hook_string,D2_pkg_json_write,D2_scripts_field_touch,E2_bin_ge_1000000,F1_hook_postinstall,F1_hook_prepare,F1_optionalDependencies,F1_scripts_block,A1_command_literal_density,A1_command_url_density,A1_command_variable_density,A1_dynamic_literal_density,A1_dynamic_url_density,A1_dynamic_variable_density,A2_decode_string_literal_density,A2_decode_variable_density,A3_CONFIG_OR_URL_density,A3_LOG_OR_MESSAGE_density,A3_OTHER_density,A3_SECRETS_density,C1_CLOUD_PROVIDER_density,C1_DEV_HOST_density,C1_LOCALHOST_density,C1_PACKAGE_INFRA_density,C1_PUBLIC_IP_density,C1_domain_url_hits_density,C1_ip_url_hits_density,C1_raw_url_hits_density,C1_skipped_invalid_urls_density,C1_valid_url_hits_density,C2_cloud_auth_density,C2_dev_code_host_density,C2_total_hits_density,C3_generic_exec_like_density,C3_net_fetch_density,C3_net_generic_request_density,C3_net_node_dns_module_density,C3_net_node_http_module_density,C3_proc_child_exec_density,A1_total,A1_total_density,D1_total_hits,D1_ext_unique_ecosystems,E2_ext_ge_10000,E2_ext_ge_100000,combo4a_pkgwrite_install,combo4b_scripts_install,combo5a_secrets_highrisk_exfil,combo6a_worm_strong
02-echo,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,168,6,213,39,5,174,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.009832436598728135,0.0,0.03932974639491254,0.0,0.0,0.20648116857329085,0.0,0.35396771755421286,0.4621245201402224,0.009832436598728135,0.009832436598728135,0.0,1.6518493485863268,0.058994619592368805,2.0943089955290928,0.3834650273503973,1.7108439681786953,0.1966487319745627,0.009832436598728135,0.20648116857329085,0.0,0.07865949278982508,0.0,0.0,0.0,0.0,1,0.009832436598728135,1,1,1,1,0,0,0,1
@accordproject@concerto-linter-default-ruleset,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,194,6,239,39,5,200,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.00967648697849662,0.0,0.03870594791398648,0.0,0.0,0.20320622654842904,0.0,0.3483535312258783,0.45479488798934115,0.00967648697849662,0.00967648697849662,0.0,1.8772384738283443,0.058058921870979725,2.3126803878606923,0.37738299216136817,1.9352973956993242,0.19352973956993244,0.00967648697849662,0.20320622654842904,0.0,0.07741189582797296,0.0,0.0,0.0,0.0,1,0.00967648697849662,1,1,1,1,0,0,0,1
@accordproject@concerto-metamodel,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,178,6,223,39,5,184,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.008414484019632674,0.0,0.033657936078530695,0.0,0.0,0.17670416441228615,0.0,0.30292142470677624,0.39548074892273566,0.008414484019632674,0.008414484019632674,0.0,1.497778155494616,0.05048690411779604,1.8764299363780863,0.3281648767656743,1.548265059612412,0.1682896803926535,0.008414484019632674,0.17670416441228615,0.0,0.06731587215706139,0.0,0.0,0.0,0.0,1,0.008414484019632674,1,1,1,1,0,0,0,1
@accordproject@concerto-types,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,170,6,215,39,5,176,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.008494789550933144,0.0,0.033979158203732575,0.0,0.0,0.17839058056959603,0.0,0.3058124238335932,0.3992551088938578,0.008494789550933144,0.008494789550933144,0.0,1.4441142236586346,0.050968737305598866,1.826379753450626,0.3312967924863926,1.4950829609642333,0.1698957910186629,0.008494789550933144,0.17839058056959603,0.0,0.06795831640746515,0.0,0.0,0.0,0.0,1,0.008494789550933144,1,1,1,1,0,0,0,1
@accordproject@markdown-it-cicero,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,174,6,219,39,5,180,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.008098959567159206,0.0,0.032395838268636824,0.0,0.0,0.17007815091034328,0.0,0.2915625444177314,0.3806510996564826,0.008098959567159206,0.008098959567159206,0.0,1.4092189646857016,0.048593757402955226,1.7736721452078659,0.315859423119209,1.457812722088657,0.16197919134318411,0.008098959567159206,0.17007815091034328,0.0,0.06479167653727365,0.0,0.0,0.0,0.0,1,0.008098959567159206,1,1,1,1,0,0,0,1
@accordproject@template-engine,0,0,2,2,0,4,0,12,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,172,6,217,39,5,178,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0.0,0.01839424833927529,0.01839424833927529,0.0,0.03678849667855058,0.0,0.11036549003565173,0.0,0.0,0.19313960756239054,0.0,0.3310964701069552,0.43226483597296933,0.009197124169637645,0.009197124169637645,0.0,1.5819053571776747,0.055182745017825864,1.9957759448113688,0.3586878426158681,1.6370881021955006,0.1839424833927529,0.009197124169637645,0.19313960756239054,0.0,0.07357699335710116,0.0,0.0,0.0,0.0,8,0.07357699335710116,1,1,1,1,0,0,0,1
@actbase@css-to-react-native-transform,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,49,1,1,0,170,6,215,39,5,176,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.00964598278577912,0.0,0.03858393114311648,0.0,0.0,0.20256563850136153,0.0,0.34725538028804837,0.4726531565031769,0.00964598278577912,0.00964598278577912,0.0,1.6398170735824504,0.057875896714674725,2.073886298942511,0.3761933286453857,1.6976929702971253,0.19291965571558242,0.00964598278577912,0.20256563850136153,0.0,0.07716786228623296,0.0,0.0,0.0,0.0,1,0.00964598278577912,1,1,1,1,0,0,0,1
@actbase@native,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,168,6,215,41,5,174,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.009394735697430887,0.0,0.03757894278972355,0.0,0.0,0.1972894496460486,0.0,0.33821048510751195,0.4415525777792517,0.009394735697430887,0.009394735697430887,0.0,1.5783155971683889,0.05636841418458532,2.0198681749476406,0.3851841635946664,1.6346840113529744,0.18789471394861776,0.009394735697430887,0.1972894496460486,0.0,0.0751578855794471,0.0,0.0,0.0,0.0,1,0.009394735697430887,1,1,1,1,0,0,0,1
@actbase@node-server,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,168,6,214,40,5,174,20,1,0,0,21,0,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.009116121797586179,0.0,0.036464487190344716,0.0,0.0,0.19143855774930976,0.0,0.3281803847131024,0.4284577244865504,0.009116121797586179,0.009116121797586179,0.0,1.531508461994478,0.054696730785517074,1.9508500646834421,0.36464487190344713,1.5862051927799952,0.18232243595172357,0.009116121797586179,0.19143855774930976,0.0,0.07292897438068943,0.0,0.0,0.009116121797586179,0.0,1,0.009116121797586179,1,1,1,1,0,0,0,1
@actbase@react-absolute,0,0,0,0,0,1,0,4,0,0,21,0,0,0,0,0,1,0,0,1,1,0,0,5,36,47,1,1,0,168,6,213,39,5,174,20,1,0,0,21,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.009809920046208648,0.0,0.03923968018483459,0.0,0.0,0.2060083209703816,0.0,0.35315712166351126,0.4610662421718064,0.009809920046208648,0.009809920046208648,0.0,1.6480665677630528,0.05885952027725189,2.089512969842442,0.38258688180213724,1.7069260880403048,0.19619840092417296,0.009809920046208648,0.2060083209703816,0.0,0.07847936036966918,0.0,0.0,0.0,0.0,1,0.009809920046208648,1,1,1,1,0,0,0,1
